"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",400000000,177905801.93,222094198.07,-55061003.05,"M","No","2"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",450000000,284168235.19,165831764.81,-58951388.97,"N","No","3"
"Department of Agriculture","012-2020/2021-3510-000","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service","012-3510","Income Security",500000000,0,500000000,0,"M","No","2"
"Department of Agriculture","012-2020/2021-3539-000","Child Nutrition Programs, Food and Nutrition Service","012-3539","Income Security",8800000000,7038590002.62,1761409997.38,-4104592727.61,"N","No","3"
"Department of Agriculture","012-2020/2021-3700-000","Food Safety and Inspection Service, Agriculture","012-3700","Health",33000000,12669597.09,20330402.91,-7578495.48,"N","No","3"
"Department of Commerce","013-2020/2022-0125-000","Salaries and Expenses, Economic Development Administration, Commerce","013-0125","Community and Regional Development",10000000,4358385.51,5641614.49,-734383.39,"N","No","3"
"Department of Commerce","013-2020/2022-0126-000","Office of Inspector General, Departmental Management, Commerce","013-0126","Commerce and Housing Credit",3000000,64635.99,2935364.01,-52233.84,"N","No","3"
"Department of Commerce","013-2020/2021-0201-000","Minority Business Development, Minority Business Development Agency, Commerce","013-0201","Commerce and Housing Credit",10000000,10000000,0,-1099057.7,"O","No","3"
"Department of Commerce","013-2020/2021-0500-000","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ","013-0500","Commerce and Housing Credit",6000000,1757617.16,4242382.84,-1109649.98,"N","No","3"
"Department of Commerce","013-2020/2021-0525-000","Industrial Technology Services, National Institute of Standards and Technology, Commerce","013-0525","Commerce and Housing Credit",60000000,59832327.49,167672.51,-1797391.78,"N","No","3"
"Department of Commerce","013-2020/2021-1450-000","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce","013-1450","Natural Resources and Environment",20300000,9477135.17,10822864.83,-1189713.1,"N","No","3"
"Department of Commerce","013-2020/2022-2050-000","Economic Development Assistance Programs, Economic Development Administration, Commerce","013-2050","Community and Regional Development",1487000000,732710296.42,754289703.58,-427287.85,"N","No","3"
"Department of Commerce","013-2020/2021-2055-000","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce","013-2055","Commerce and Housing Credit",299700000,291846946,7853054,0,"N","No","3"
"Department of Defense","017-2020/2020-1806-000","Operation and Maintenance, Navy Reserve","017-1806","National Defense",6300000,1038710.88,5261289.12,-883188.34,"N","No","3"
"Department of Defense","017-2020/2020-1108-000","Reserve Personnel, Marine Corps","017-1108","National Defense",224000,0,224000,0,"N","No","3"
"Department of Defense","017-2020/2020-1453-000","Military Personnel, Navy","017-1453","National Defense",14000000,32046814.19,-18046814.19,-35438587.06,"N","No","3"
"Department of Defense","017-2020/2020-1804-000","Operation and Maintenance, Navy","017-1804","National Defense",536389000,326272337.29,210116662.71,-195467407.29,"N","No","3"
"Department of Defense","021-2020/2020-2020-000","Operation and Maintenance, Army","021-2020","National Defense",361107000,246225705.18,114881294.82,-103314216.37,"N","No","3"
"Department of Defense","057-2020/2020-3850-000","National Guard Personnel, Air Force","057-3850","National Defense",216429700,4373971.01,212055728.99,-1118160.04,"N","No","3"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",82000000,15345069.31,66654930.69,-5566.74,"M","No","2"
"Department of Defense","021-2020/2020-2010-000","Military Personnel, Army","021-2010","National Defense",198600000,58938000,139662000,-58938000,"N","No","3"
"Department of Defense","017-2020/2020-1105-000","Military Personnel, Marine Corps","017-1105","National Defense",5376000,7752.96,5368247.04,-10780,"N","No","3"
"Department of Defense","017-2020/2020-1106-000","Operation and Maintenance, Marine Corps","017-1106","National Defense",180477000,129847309.11,50629690.89,-84296292.57,"N","No","3"
"Department of Defense","057-2020/2021-3600-000","Research, Development, Test, and Evaluation, Air Force","057-3600","National Defense",128555000,40675268.24,87879731.76,-3907585.8,"N","No","3"
"Department of Defense","057-2020/2020-3700-000","Reserve Personnel, Air Force","057-3700","National Defense",41700000,2249760.7,39450239.3,-734963.03,"N","No","3"
"Department of Defense","057-2020/2020-3740-000","Operation and Maintenance, Air Force Reserve","057-3740","National Defense",8000000,318498.66,7681501.34,-188787.59,"N","No","3"
"Department of Defense","057-2020/2020-3840-000","Operation and Maintenance, Air National Guard","057-3840","National Defense",41554000,2061125.68,39492874.32,-1189882.08,"N","No","3"
"Department of Defense","097-2020/2020-0130-000","Defense Health Program, Defense","097-0130","National Defense",2171700000,307802669.15,1863897330.85,-102919898.49,"N","No","3"
"Department of Defense","097-2020/2021-0130-000","Defense Health Program, Defense","097-0130","National Defense",1351900000,649784310.87,702115689.13,-54643596.62,"N","No","3"
"Department of Defense","057-2020/2022-3080-000","Other Procurement, Air Force","057-3080","National Defense",32083000,1184643.79,30898356.21,-699055.36,"N","No","3"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",30000000,1227279.69,28772720.31,-870.96,"N","No","3"
"Department of Defense","021-2020/2022-2035-000","Other Procurement, Army","021-2035","National Defense",43426000,19034148.83,24391851.17,-16436.41,"N","No","3"
"Department of Defense","021-2020/2021-2040-000","Research, Development, Test, and Evaluation, Army","021-2040","National Defense",63775000,12344689.21,51430310.79,-12330150.29,"N","No","3"
"Department of Defense","097-X-4930-004","Defense Working Capital Fund, Defense Commissary Agency","097-4930","National Defense",34667000,0,34667000,0,"N","No","3"
"Department of Defense","057-2020/2020-3400-000","Operation and Maintenance, Air Force","057-3400","National Defense",487269000,310116949.34,177152050.66,-97152626.43,"N","No","3"
"Department of Defense","057-2020/2020-3500-000","Military Personnel, Air Force","057-3500","National Defense",170020000,80774672.74,89245327.26,-79113737.49,"N","No","3"
"Department of Defense","097-X-4930-003","Defense Working Capital Fund, Air Force","097-4930","National Defense",477800000,2753046.25,475046953.75,-2530594.85,"N","No","3"
"Department of Defense","097-X-0360-000","Defense Production Act Purchases, Defense","097-0360","National Defense",900000000,527135786.34,372864213.66,0,"N","No","3"
"Department of Defense","097-X-4930-005","Defense Working Capital Fund, Defense Agencies","097-4930","National Defense",500000000,0,500000000,0,"N","No","3"
"Department of Defense","097-2020/2020-0107-000","Office of the Inspector General, Defense","097-0107","National Defense",20000000,0,20000000,0,"N","No","3"
"Department of Defense","097-2020/2022-0300-000","Procurement, Defense-Wide","097-0300","National Defense",2105000,0,2105000,0,"N","No","3"
"Department of Defense","097-X-4930-002","Defense Working Capital Fund, Navy","097-4930","National Defense",475000000,0,475000000,0,"N","No","3"
"Department of Defense","021-2020/2020-2060-000","National Guard Personnel, Army","021-2060","National Defense",239679000,43406798.97,196272201.03,-29690139.63,"N","No","3"
"Department of Defense","021-2020/2020-2065-000","Operation and Maintenance, Army National Guard","021-2065","National Defense",79163000,48375762.2,30787237.8,-4092054.02,"N","No","3"
"Department of Defense","021-2020/2020-2080-000","Operation and Maintenance, Army Reserve","021-2080","National Defense",36000000,7885351.92,28114648.08,-2272019.76,"N","No","3"
"Department of Defense","097-X-4930-000","Department of Defense Working Capital Fund, Defense","097-4930","National Defense",0,0,0,0,"N","No","3"
"Department of Defense","097-2020/2020-0100-000","Operation and Maintenance, Defense-Wide, Defense","097-0100","National Defense",146923000,40526409.66,106396590.34,-12319340.07,"N","No","3"
"Department of Defense","097-2020/2021-0400-000","Research, Development, Test, and Evaluation, Defense-Wide","097-0400","National Defense",312996000,872628,312123372,0,"N","No","3"
"Department of Defense","097-X-0361-000","Defense Production Act Program Account. Defense","097-0361","National Defense",100000000,0,100000000,0,"N","Yes","3"
"Department of Education","091-2020/2021-0203-000","Safe Schools and Citizenship Education,  Education","091-0203","Education, Training, Employment, and Social Services",100000000,0,100000000,0,"N","No","3"
"Department of Education","091-2020/2020-0247-000","Health Education Assistance Loans Program Account, Education","091-0247","Education, Training, Employment, and Social Services",1696387,1696387,0,-1696387,"O","No","3"
"Department of Education","091-2020/2021-0202-000","Student and Administration, Education","091-0202","Education, Training, Employment, and Social Services",40000000,13321159.01,26678840.99,-8099235.69,"N","No","3"
"Department of Education","091-2020/2021-0603-000","Howard University, Education","091-0603","Education, Training, Employment, and Social Services",13000000,13000000,0,-13000000,"N","No","3"
"Department of Education","091-2020/2021-0251-000","Education Stabilization Fund, Department of Education","091-0251","Education, Training, Employment, and Social Services",30596250000,29623302479.39,972947520.61,-8508749481.86,"N","No","3"
"Department of Education","091-2020/2021-0602-000","Gallaudet University, Special Institutions for Persons with Disabilities, Education","091-0602","Education, Training, Employment, and Social Services",7000000,7000000,0,-1140365.28,"N","No","3"
"Department of Education","091-2020/2021-0800-000","Program Administration, Departmental Management, Education","091-0800","Education, Training, Employment, and Social Services",8000000,1493524.17,6506475.83,-171082.85,"N","No","3"
"Department of Education","091-2020/2022-1400-000","Office of the Inspector General, Departmental Management, Education","091-1400","Administration of Justice",7000000,0,7000000,0,"N","No","3"
"Department of Energy","089-2020/2021-0222-000","Science, Energy Programs, Energy","089-0222","General Science, Space, and Technology",99500000,98369243.82,1130756.18,-45970683.92,"N","No","3"
"Department of Energy","089-2020/2021-0228-000","Departmental Administration, Energy Programs, Energy","089-0228","Energy",28000000,19011046.7,8988953.3,-7205074,"N","No","3"
"Department of Health & Human Services","075-2020/2020-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",1320000000,1318221289.86,1778710.14,-374397986.04,"O","No","3"
"Department of Health & Human Services","075-2020/2022-0356-000","Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services","075-0356","Health",90000000,89564409,435591,-7425909.63,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0357-000","Health Care Systems, Health Resources and Services Administration, Health and Human Services","075-0357","Health",5000000,4834000,166000,-472200.25,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0358-000","Rural Health, Health Resources and Services Administration, Health and Human Services","075-0358","Health",180000000,176078922.3,3921077.7,-87174240.84,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",100000000,100000000,0,-67905500.53,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0862-000","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services","075-0862","Health",10000000,3155494.26,6844505.74,-319566.08,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0872-000","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services","075-0872","Health",103400000,15876996,87523004,-228134.81,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0875-000","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services ","075-0875","Health",36000000,13095904.6,22904095.4,-2539140.21,"N","No","3"
"Department of Health & Human Services","075-X-0849-000","National Cancer Institute, National Institutes of Health, Health and Human Services","075-0849","Health",306000000,6799198.01,299200801.99,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",706000000,86504897.26,619495102.74,-3334276.43,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services  ","075-0898","Health",60000000,5113146.51,54886853.49,-172283.23,"N","No","3"
"Department of Health & Human Services","075-X-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services ","075-0898","Health",500000000,220109316.9,279890683.1,-11245941.87,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",826000000,395747075.47,430252924.53,-45397364.16,"L","No","1"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",955000000,954999970,30,-188255592.08,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0807-000","National Library of Medicine, National Institutes of Health","075-0807","Health",10000000,2168243.07,7831756.93,-415000,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",30000000,0,30000000,0,"N","No","3"
"Department of Health & Human Services","075-X-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",1000000000,25367208.6,974632791.4,0,"P","No","3.5"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",2000000,506460.71,1493539.29,-453100.22,"L","No","1"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",4000000,0,4000000,0,"N","No","3"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",6000000,0,6000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2022-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",0,0,0,0,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",2998000000,2702363004.72,295636995.28,-430066926.3,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",26721500000,22101190247.93,4620309752.07,-2371896112.07,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",1000000000,162904569.09,837095430.91,-161163980.95,"M","No","2"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",100000000000,17716675796.31,82283324203.69,-17711687682.78,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",96566000000,86889731712.57,9676268287.43,-75231191096.14,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",250000000,250000000,0,-129570395.21,"M","No","2"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",22000000,0,22000000,0,"P","No","3.5"
"Department of Health & Human Services","075-X-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1000000000,200000000,800000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0944-000","Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services  ","075-0944","Health",12500000,2148930.45,10351069.55,-1055410.89,"N","No","3"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"L","No","1"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1362-000","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services","075-1362","Health",425000000,423368053,1631947,-4129829.1,"N","No","3"
"Department of Health & Human Services","075-X-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",600000000,599634066,365934,-52102162.58,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",907000000,524952534.49,382047465.51,-465675368.21,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",64000000,49394228.38,14605771.62,-45169112.93,"M","No","2"
"Department of Health & Human Services","075-X-0391-000","Indian Health Facilities, Indian Health Service, Health and Human Services","075-0391","Health",125000000,89523276.12,35476723.88,-81298069.09,"N","No","3"
"Department of Health & Human Services","075-2020/2023-0511-000","Program Management, Centers for Medicare and Medicaid Services","075-0511","Health",200000000,37648523.94,162351476.06,-3652137.74,"N","No","3"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",61000000,19786369.25,41213630.75,-2122825.89,"L","No","1"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",80000000,5471186.05,74528813.95,-1317991.68,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",4000000000,1198089861.54,2801910138.46,-52292420.87,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1502-000","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services","075-1502","Income Security",900000000,899739645,260355,-82116517.72,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1515-000","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",3466538903,3456426903,10112000,-1056721948.93,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1536-000","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",1873320318,1715936165.84,157384152.16,-69897883.65,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1900000000,1572059689.19,327940310.81,-407310548.72,"L","No","1"
"Department of Homeland Security","070-2020/2021-0112-000","Operations and Support, Management Directorate, Departmental Management, Operations, Intelligence, and Oversight, Homeland Security","070-0112","Administration of Justice",178300000,49968483.33,128331516.67,-6725029.61,"N","No","3"
"Department of Homeland Security","070-2020/2024-0530-000","Operations and Support, U.S. Customs and Border Protection, Homeland Security","070-0530","Administration of Justice",182000000,0,182000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2021-0550-000","Operations and Support, Transportation Security Administration, Homeland Security","070-0550","Transportation",100000000,7998091.06,92001908.94,-4648176.21,"N","No","3"
"Department of Homeland Security","070-X-0200-000","Operations and Support, Office of Inspector General, Homeland Security","070-0200","Administration of Justice",3000000,0,3000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2021-0413-000","Federal Assistance, Federal Emergency Management Agency, Homeland Security","070-0413","Community and Regional Development",400000000,339322276.52,60677723.48,-49729394.6,"N","No","3"
"Department of Homeland Security","070-X-0702-000","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security","070-0702","Community and Regional Development",44997000000,0,44997000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2021-0566-000","Operations and Support, National Protection and Programs Directorate, Homeland Security","070-0566","Community and Regional Development",9100000,9082512.21,17487.79,-528623.38,"N","No","3"
"Department of Homeland Security","070-2020/2021-0700-000","Operations and Support, Federal Emergency Management Agency, Homeland Security","070-0700","Community and Regional Development",44987000,7643616.61,37343383.39,-1305267.81,"N","No","3"
"Department of Homeland Security","070-2020/2021-0610-000","Operations and Support, Coast Guard, Homeland Security ","070-0610","Transportation",140800000,19755444.13,121044555.87,-7612699.95,"N","No","3"
"Department of Housing & Urban Development","086-X-0189-000","Office of Inspector General, Management and Administration, Housing and Urban Development","086-0189","Community and Regional Development",5000000,606373.59,4393626.41,-528496.32,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0237-000","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development","086-0237","Income Security",15000000,2164530,12835470,-481456,"N","No","3"
"Department of Housing & Urban Development","086-X-0303-000","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development","086-0303","Income Security",1000000000,800000000,200000000,-798394400.75,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0192-000","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development","086-0192","Income Security",4000000000,1022408032,2977591968,-1149214.94,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0144-000","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development","086-0144","Administration of Justice",2500000,1314405.91,1185594.09,-269161.22,"N","No","3"
"Department of Housing & Urban Development","086-X-0302-000","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development","086-0302","Income Security",1250000000,377795436,872204564,-377795436,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0163-000","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development","086-0163","Income Security",685000000,684992032.5,7967.5,-98402233.18,"N","No","3"
"Department of Housing & Urban Development","086-2020/2024-0313-000","Native American Programs, Public and Indian Housing, Housing and Urban Development","086-0313","Income Security",300000000,201542100,98457900,-20289769.03,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0320-000","Housing for the Elderly, Housing Programs, Housing and Urban Development","086-0320","Income Security",50000000,5835860,44164140,-802615,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0308-000","Housing Opportunities for Persons with AIDS, Community Planning  and Development, Housing and Urban Development","086-0308","Income Security",55000000,30672955,24327045,-17897.29,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0308-000","Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development","086-0308","Income Security",10000000,9293623,706377,-8563.06,"N","No","3"
"Department of Housing & Urban Development","086-X-0162-000","Community Development Fund, Community Planning and Development, Housing and Urban Development","086-0162","Community and Regional Development",1677500000,0,1677500000,0,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0335-000","Administrative Support Offices, Management and Administration, Housing and Urban Development","086-0335","Income Security",35000000,6534920.25,28465079.75,-979620.47,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0162-000","Community Development Fund, Community Planning and Development, Housing and Urban Development","086-0162","Community and Regional Development",5000000000,1235702650,3764297350,-14826507.42,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0479-000","Program Offices, Management and Administration, Housing and Urban Development","086-0479","Income Security",15000000,24076.08,14975923.92,-5813.2,"N","No","3"
"Department of Justice","015-X-0134-000","Justice Information Sharing Technology, General Administration, Justice","015-0134","Administration of Justice",2000000,939393.01,1060606.99,-278148.4,"N","No","3"
