"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Agriculture","012-2020/2020-0115-000","Processing, Research and Marketing, Office of the Secretary, Agriculture","012-0115","Agriculture",3000000000,2344546742.58,655453257.42,-631323487.87,"M","No","2"
"Department of Agriculture","012-X-0115-000","Office of the Secretary, Agriculture","012-0115","Agriculture",16000000000,6120821413.57,9879178586.43,-4633663963.17,"N","No","3"
"Department of Agriculture","012-2020/2021-0600-000","Salaries and Expenses, Farm Service Agency, Agriculture","012-0600","Agriculture",3000000,912944.89,2087055.11,-912944.89,"N","No","3"
"Department of Agriculture","012-2020/2021-0900-000","Office of the Inspector General, Agriculture","012-0900","Agriculture",750000,148338.17,601661.83,-137629.25,"N","No","3"
"Department of Agriculture","012-2020/2021-1103-000","Capital Improvement and Maintenance, Forest Service, Agriculture","012-1103","Natural Resources and Environment",26800000,1103786.93,25696213.07,-703769.1,"N","No","3"
"Department of Agriculture","012-2020/2021-1104-000","Forest and Rangeland Research, Forest Service, Agriculture","012-1104","Natural Resources and Environment",3000000,208.08,2999791.92,-208.08,"N","No","3"
"Department of Agriculture","012-2020/2021-1106-000","National Forest System, Forest Service, Agriculture","012-1106","Natural Resources and Environment",34000000,3768337.89,30231662.11,-1066121.39,"N","No","3"
"Department of Agriculture","012-2020/2021-1115-000","Wildland Fire Management, Forest Service, Agriculture ","012-1115","Natural Resources and Environment",7000000,3771497.11,3228502.89,-1736984.4,"N","No","3"
"Department of Agriculture","012-2020/2021-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture","012-1232","Community and Regional Development",100000000,15575317,84424683,-3000000,"N","No","3"
"Department of Agriculture","012-X-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service,  Agriculture","012-1232","Community and Regional Development",25000000,750000,24250000,-750000,"N","No","3"
"Department of Agriculture","012-2020/2021-1600-000","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture","012-1600","Agriculture",55000000,17986077.75,37013922.25,-17986077.75,"N","No","3"
"Department of Agriculture","012-2020/2021-1902-000","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture","012-1902","Community and Regional Development",25500000,1032289.4,24467710.6,-615000,"N","Yes","3"
"Department of Agriculture","012-2020/2021-2500-000","Marketing Services, Agricultural Marketing Service, Agriculture","012-2500","Agriculture",45000000,3511802.5,41488197.5,-3039867.87,"N","No","3"
"Department of Agriculture","012-2020/2021-2900-000","Salaries and Expenses, Foreign Agricultural Service, Agriculture","012-2900","Agriculture",4000000,477745.4,3522254.6,-242308.24,"N","No","3"
"Department of Agriculture","012-2020/2020-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",8858371642,5073752563,3784619079,-5073752563,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",100000000,100000000,0,-589251,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",15810000000,200000000,15610000000,-59886720.89,"N","No","3"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",400000000,169434377.21,230565622.79,-31076231.52,"M","No","2"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",450000000,248177077.41,201822922.59,-22320936.87,"N","No","3"
"Department of Agriculture","012-2020/2021-3510-000","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service","012-3510","Income Security",500000000,0,500000000,0,"M","No","2"
"Department of Agriculture","012-2020/2021-3539-000","Child Nutrition Programs, Food and Nutrition Service","012-3539","Income Security",8800000000,7038590002.62,1761409997.38,-2758762489.71,"N","No","3"
"Department of Agriculture","012-2020/2021-3700-000","Food Safety and Inspection Service, Agriculture","012-3700","Health",33000000,9659797.88,23340202.12,-5179936.16,"N","No","3"
"Department of Commerce","013-2020/2022-0125-000","Salaries and Expenses, Economic Development Administration, Commerce","013-0125","Community and Regional Development",10000000,2471453.81,7528546.19,-419098.54,"N","No","3"
"Department of Commerce","013-2020/2022-0126-000","Office of Inspector General, Departmental Management, Commerce","013-0126","Commerce and Housing Credit",3000000,31569.21,2968430.79,-29326.19,"N","No","3"
"Department of Commerce","013-2020/2021-0201-000","Minority Business Development, Minority Business Development Agency, Commerce","013-0201","Commerce and Housing Credit",10000000,10000000,0,-178171.98,"O","No","3"
"Department of Commerce","013-2020/2021-0500-000","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ","013-0500","Commerce and Housing Credit",6000000,623741.81,5376258.19,-380795.97,"N","No","3"
"Department of Commerce","013-2020/2021-0525-000","Industrial Technology Services, National Institute of Standards and Technology, Commerce","013-0525","Commerce and Housing Credit",60000000,58532025.49,1467974.51,-234032.98,"N","No","3"
"Department of Commerce","013-2020/2021-1450-000","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce","013-1450","Natural Resources and Environment",20300000,4114845.13,16185154.87,-303514.99,"N","No","3"
"Department of Commerce","013-2020/2022-2050-000","Economic Development Assistance Programs, Economic Development Administration, Commerce","013-2050","Community and Regional Development",1487000000,122672054.03,1364327945.97,0,"N","No","3"
"Department of Commerce","013-2020/2021-2055-000","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce","013-2055","Commerce and Housing Credit",299700000,0,299700000,0,"N","No","3"
"Department of Defense","017-2020/2020-1106-000","Operation and Maintenance, Marine Corps","017-1106","National Defense",180477000,76369413.89,104107586.11,-43576122.54,"N","No","3"
"Department of Defense","017-2020/2020-1108-000","Reserve Personnel, Marine Corps","017-1108","National Defense",224000,0,224000,0,"N","No","3"
"Department of Defense","017-2020/2020-1453-000","Military Personnel, Navy","017-1453","National Defense",14000000,25019161.2,-11019161.2,-27753934.07,"N","No","3"
"Department of Defense","017-2020/2020-1804-000","Operation and Maintenance, Navy","017-1804","National Defense",534280000,293480417.65,240799582.35,-166167600.69,"N","No","3"
"Department of Defense","017-2020/2020-1806-000","Operation and Maintenance, Navy Reserve","017-1806","National Defense",6300000,1137747.73,5162252.27,-674157.72,"N","No","3"
"Department of Defense","057-2020/2020-3850-000","National Guard Personnel, Air Force","057-3850","National Defense",211386000,2848758.61,208537241.39,-387810.12,"N","No","3"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",30000000,0,30000000,0,"N","No","3"
"Department of Defense","021-2020/2020-2010-000","Military Personnel, Army","021-2010","National Defense",252400000,0,252400000,0,"N","No","3"
"Department of Defense","017-2020/2020-1105-000","Military Personnel, Marine Corps","017-1105","National Defense",5376000,7752.96,5368247.04,-10780,"N","No","3"
"Department of Defense","057-2020/2020-3500-000","Military Personnel, Air Force","057-3500","National Defense",170020000,71361927.03,98658072.97,-61563915.28,"N","No","3"
"Department of Defense","057-2020/2021-3600-000","Research, Development, Test, and Evaluation, Air Force","057-3600","National Defense",128555000,10675996.92,117879003.08,-1620040.84,"N","No","3"
"Department of Defense","057-2020/2020-3700-000","Reserve Personnel, Air Force","057-3700","National Defense",41700000,1657682.27,40042317.73,-492729.25,"N","No","3"
"Department of Defense","057-2020/2020-3740-000","Operation and Maintenance, Air Force Reserve","057-3740","National Defense",8000000,166981.69,7833018.31,-121426.38,"N","No","3"
"Department of Defense","057-2020/2020-3840-000","Operation and Maintenance, Air National Guard","057-3840","National Defense",41554000,1177834.41,40376165.59,-501143.49,"N","No","3"
"Department of Defense","097-2020/2021-0130-000","Defense Health Program, Defense","097-0130","National Defense",1351900000,124732179.27,1227167820.73,-10267514.12,"N","No","3"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",82000000,15000554.54,66999445.46,0,"M","No","2"
"Department of Defense","057-2020/2022-3080-000","Other Procurement, Air Force","057-3080","National Defense",32083000,1184643.79,30898356.21,-63323.04,"N","No","3"
"Department of Defense","021-2020/2020-2020-000","Operation and Maintenance, Army","021-2020","National Defense",307307000,232331846.84,74975153.16,-28534647.22,"N","No","3"
"Department of Defense","021-2020/2022-2035-000","Other Procurement, Army","021-2035","National Defense",43426000,0,43426000,0,"N","No","3"
"Department of Defense","021-2020/2021-2040-000","Research, Development, Test, and Evaluation, Army","021-2040","National Defense",63775000,647627.64,63127372.36,-647627.64,"N","No","3"
"Department of Defense","097-X-4930-005","Defense Working Capital Fund, Defense Agencies","097-4930","National Defense",500000000,0,500000000,0,"N","No","3"
"Department of Defense","057-2020/2020-3400-000","Operation and Maintenance, Air Force","057-3400","National Defense",487269000,263046721.8,224222278.2,-55984839.78,"N","No","3"
"Department of Defense","021-2020/2020-2080-000","Operation and Maintenance, Army Reserve","021-2080","National Defense",36000000,7885351.92,28114648.08,-2159519.76,"N","No","3"
"Department of Defense","097-X-4930-004","Defense Working Capital Fund, Defense Commissary Agency","097-4930","National Defense",34667000,0,34667000,0,"N","No","3"
"Department of Defense","097-X-0360-000","Defense Production Act Purchases, Defense","097-0360","National Defense",1000000000,276792829.8,723207170.2,0,"N","No","3"
"Department of Defense","097-2020/2020-0100-000","Operation and Maintenance, Defense-Wide, Defense","097-0100","National Defense",146923000,22048636.71,124874363.29,-7709354.97,"N","No","3"
"Department of Defense","097-2020/2020-0130-000","Defense Health Program, Defense","097-0130","National Defense",2171700000,227814436.98,1943885563.02,-69727100.69,"N","No","3"
"Department of Defense","097-2020/2022-0300-000","Procurement, Defense-Wide","097-0300","National Defense",2105000,0,2105000,0,"N","No","3"
"Department of Defense","097-X-4930-003","Defense Working Capital Fund, Air Force","097-4930","National Defense",477800000,0,477800000,0,"N","No","3"
"Department of Defense","021-2020/2020-2060-000","National Guard Personnel, Army","021-2060","National Defense",239679000,19931981.35,219747018.65,-8352515.7,"N","No","3"
"Department of Defense","097-2018/2020-0300-000","Procurement, Defense-Wide","097-0300","National Defense",32263000,0,32263000,0,"N","No","3"
"Department of Defense","097-X-4930-002","Defense Working Capital Fund, Navy","097-4930","National Defense",475000000,0,475000000,0,"N","No","3"
"Department of Defense","021-2020/2020-2065-000","Operation and Maintenance, Army National Guard","021-2065","National Defense",79163000,30393859.1,48769140.9,-3363109.42,"N","No","3"
"Department of Defense","097-X-4930-000","Department of Defense Working Capital Fund, Defense","097-4930","National Defense",0,0,0,0,"N","No","3"
"Department of Defense","097-2020/2021-0400-000","Research, Development, Test, and Evaluation, Defense-Wide","097-0400","National Defense",312996000,0,312996000,0,"N","No","3"
"Department of Education","091-2020/2021-0202-000","Student and Administration, Education","091-0202","Education, Training, Employment, and Social Services",40000000,13238442.01,26761557.99,-6750492.77,"N","No","3"
"Department of Education","091-2020/2021-0203-000","Safe Schools and Citizenship Education,  Education","091-0203","Education, Training, Employment, and Social Services",100000000,0,100000000,0,"N","No","3"
"Department of Education","091-2020/2020-0247-000","Health Education Assistance Loans Program Account, Education","091-0247","Education, Training, Employment, and Social Services",1696387,1696387,0,-1696387,"O","No","3"
"Department of Education","091-2020/2022-1400-000","Office of the Inspector General, Departmental Management, Education","091-1400","Administration of Justice",7000000,0,7000000,0,"N","No","3"
"Department of Education","091-2020/2021-0602-000","Gallaudet University, Special Institutions for Persons with Disabilities, Education","091-0602","Education, Training, Employment, and Social Services",7000000,7000000,0,0,"N","No","3"
"Department of Education","091-2020/2021-0603-000","Howard University, Education","091-0603","Education, Training, Employment, and Social Services",13000000,13000000,0,-13000000,"N","No","3"
"Department of Education","091-2020/2021-0251-000","Education Stabilization Fund, Department of Education","091-0251","Education, Training, Employment, and Social Services",30596250000,29050128618.39,1546121381.61,-7166909003.98,"N","No","3"
"Department of Education","091-2020/2021-0800-000","Program Administration, Departmental Management, Education","091-0800","Education, Training, Employment, and Social Services",8000000,557620.27,7442379.73,-55467.7,"N","No","3"
"Department of Energy","089-2020/2021-0228-000","Departmental Administration, Energy Programs, Energy","089-0228","Energy",28000000,15904798,12095202,-2294759.59,"N","No","3"
"Department of Energy","089-2020/2021-0222-000","Science, Energy Programs, Energy","089-0222","General Science, Space, and Technology",99500000,93243162.07,6256837.93,-27688218.06,"N","No","3"
"Department of Health & Human Services","075-2020/2020-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",1320000000,1318221289.86,1778710.14,-259970052.27,"O","No","3"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",955000000,954989062,10938,-81561703.08,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0356-000","Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services","075-0356","Health",90000000,89564409,435591,-3911485.95,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0357-000","Health Care Systems, Health Resources and Services Administration, Health and Human Services","075-0357","Health",5000000,4834000,166000,-139605.17,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0358-000","Rural Health, Health Resources and Services Administration, Health and Human Services","075-0358","Health",180000000,177006409.3,2993590.7,-68722061.43,"N","No","3"
"Department of Health & Human Services","075-X-0849-000","National Cancer Institute, National Institutes of Health, Health and Human Services","075-0849","Health",306000000,381250,305618750,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0862-000","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services","075-0862","Health",10000000,1414666.19,8585333.81,-243000.4,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0872-000","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services","075-0872","Health",103400000,15876996,87523004,-104795.58,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0875-000","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services ","075-0875","Health",36000000,5721734.33,30278265.67,-2222468.76,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",826000000,323571330.99,502428669.01,-22711491.64,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",706000000,130561424,575438576,-423.38,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services  ","075-0898","Health",60000000,1938686.26,58061313.74,-110926.52,"N","No","3"
"Department of Health & Human Services","075-X-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services ","075-0898","Health",500000000,78189975,421810025,-5022148.66,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",250000000,250000000,0,-102688927.03,"M","No","2"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",22000000,0,22000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0807-000","National Library of Medicine, National Institutes of Health","075-0807","Health",10000000,1477254.07,8522745.93,0,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",30000000,0,30000000,0,"N","No","3"
"Department of Health & Human Services","075-X-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",1000000000,236527,999763473,0,"P","No","3.5"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",2000000,26000,1974000,0,"L","No","1"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",4000000,0,4000000,0,"N","No","3"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",6000000,0,6000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2022-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",0,0,0,0,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",2998000000,2670165029.91,327834970.09,-347939639.58,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",26721500000,18582734106.14,8138765893.86,-1460998527.57,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",1000000000,58732202.37,941267797.63,-57068005.01,"M","No","2"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",100000000000,2779098750.49,97220901249.51,-2779098750.49,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",96566000000,86384958223.87,10181041776.13,-75039722165.61,"P","No","3.5"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",80000000,3175844.78,76824155.22,-97286.01,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",4000000000,943114641.28,3056885358.72,-16362867.98,"N","No","3"
"Department of Health & Human Services","075-X-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1000000000,0,1000000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0944-000","Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services  ","075-0944","Health",12500000,1878338.28,10621661.72,-679078.71,"N","No","3"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"L","No","1"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",100000000,100000000,0,-54582322.82,"L","No","1"
"Department of Health & Human Services","075-X-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",600000000,582378306,17621694,-20982195.35,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",907000000,495965201.62,411034798.38,-451964217.07,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",64000000,48226920.41,15773079.59,-44177324.11,"M","No","2"
"Department of Health & Human Services","075-X-0391-000","Indian Health Facilities, Indian Health Service, Health and Human Services","075-0391","Health",125000000,82457022.16,42542977.84,-80444326.03,"N","No","3"
"Department of Health & Human Services","075-2020/2023-0511-000","Program Management, Centers for Medicare and Medicaid Services","075-0511","Health",200000000,15808005.61,184191994.39,-2239143.28,"N","No","3"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",61000000,16777842.68,44222157.32,-1290547.32,"L","No","1"
"Department of Health & Human Services","075-2020/2022-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1900000000,1497784799.93,402215200.07,-310607697.5,"L","No","1"
"Department of Health & Human Services","075-2020/2021-1536-000","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",1873320318,1132310333.04,741009984.96,-8226208.6,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1362-000","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services","075-1362","Health",425000000,383572841,41427159,-1554196.13,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1502-000","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services","075-1502","Income Security",900000000,900000000,0,-18553629.65,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1515-000","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",3466538903,3456426903,10112000,-591368554.58,"N","No","3"
"Department of Homeland Security","070-2020/2021-0610-000","Operations and Support, Coast Guard, Homeland Security ","070-0610","Transportation",140800000,12375906.31,128424093.69,-2529638.82,"N","No","3"
"Department of Homeland Security","070-X-0702-000","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security","070-0702","Community and Regional Development",44997000000,0,44997000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2024-0530-000","Operations and Support, U.S. Customs and Border Protection, Homeland Security","070-0530","Administration of Justice",182000000,0,182000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2021-0112-000","Operations and Support, Management Directorate, Departmental Management, Operations, Intelligence, and Oversight, Homeland Security","070-0112","Administration of Justice",178300000,31046335.42,147253664.58,-757815.47,"N","No","3"
"Department of Homeland Security","070-X-0200-000","Operations and Support, Office of Inspector General, Homeland Security","070-0200","Administration of Justice",3000000,0,3000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2021-0413-000","Federal Assistance, Federal Emergency Management Agency, Homeland Security","070-0413","Community and Regional Development",400000000,320378091.56,79621908.44,-25339479.24,"N","No","3"
"Department of Homeland Security","070-2020/2021-0550-000","Operations and Support, Transportation Security Administration, Homeland Security","070-0550","Transportation",100000000,6438082.29,93561917.71,-3605007.32,"N","No","3"
"Department of Homeland Security","070-2020/2021-0566-000","Operations and Support, National Protection and Programs Directorate, Homeland Security","070-0566","Community and Regional Development",9100000,7682512.12,1417487.88,-528623.38,"N","No","3"
"Department of Homeland Security","070-2020/2021-0700-000","Operations and Support, Federal Emergency Management Agency, Homeland Security","070-0700","Community and Regional Development",44987000,3762015.19,41224984.81,-378758,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0163-000","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development","086-0163","Income Security",685000000,684992032.5,7967.5,-46427577.31,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0237-000","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development","086-0237","Income Security",15000000,1599390,13400610,0,"N","No","3"
"Department of Housing & Urban Development","086-X-0302-000","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development","086-0302","Income Security",1250000000,377795436,872204564,-377795436,"N","No","3"
"Department of Housing & Urban Development","086-X-0189-000","Office of Inspector General, Management and Administration, Housing and Urban Development","086-0189","Community and Regional Development",5000000,506759.75,4493240.25,-430378.36,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0192-000","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development","086-0192","Income Security",4000000000,474927131,3525072869,-452829.12,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0144-000","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development","086-0144","Administration of Justice",2500000,831396.88,1668603.12,-86001,"N","No","3"
"Department of Housing & Urban Development","086-X-0162-000","Community Development Fund, Community Planning and Development, Housing and Urban Development","086-0162","Community and Regional Development",1677500000,0,1677500000,0,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0308-000","Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development","086-0308","Income Security",10000000,7256831,2743169,0,"N","No","3"
"Department of Housing & Urban Development","086-2020/2024-0313-000","Native American Programs, Public and Indian Housing, Housing and Urban Development","086-0313","Income Security",300000000,124179433,175820567,-11630674.72,"N","No","3"
"Department of Housing & Urban Development","086-X-0303-000","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development","086-0303","Income Security",1000000000,800000000,200000000,-794244884.6,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0308-000","Housing Opportunities for Persons with AIDS, Community Planning  and Development, Housing and Urban Development","086-0308","Income Security",55000000,17702073,37297927,0,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0162-000","Community Development Fund, Community Planning and Development, Housing and Urban Development","086-0162","Community and Regional Development",5000000000,709665206,4290334794,-4290483.62,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0479-000","Program Offices, Management and Administration, Housing and Urban Development","086-0479","Income Security",15000000,11088.2,14988911.8,0,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0320-000","Housing for the Elderly, Housing Programs, Housing and Urban Development","086-0320","Income Security",50000000,5835860,44164140,0,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0335-000","Administrative Support Offices, Management and Administration, Housing and Urban Development","086-0335","Income Security",35000000,2557196.9,32442803.1,-497807.97,"N","No","3"
"Department of Justice","015-X-0134-000","Justice Information Sharing Technology, General Administration, Justice","015-0134","Administration of Justice",2000000,841367.21,1158632.79,-274457.6,"N","No","3"
"Department of Justice","015-2020/2020-0200-000","Salaries and Expenses, Federal Bureau of Investigation, Justice","015-0200","National Defense",20000000,3882897.08,16117102.92,-176639.76,"N","No","3"
"Department of Justice","015-2020/2020-1100-000","Salaries and Expenses, Drug Enforcement Administration, Justice","015-1100","Administration of Justice",15000000,7252100.79,7747899.21,-5019782.82,"N","No","3"
