"Agency","federal_account_code","Account_Name","Percent_Obligated","Percent_Outlaid","Percent_Unobligated","Amount_Obligated","Amount_Outlaid","Amount_Unobligated","Total_Budgetary_Authority"
"Department of Health & Human Services","075-0142","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",20.69,0.06,79.25,249261374.6,738625.4,955000000,1205000000
"Department of Health & Human Services","075-0360","Primary Health Care, Health Resources and Services Administration, Health and Human Services",93.38,6.62,0,93383627.87,6616372.13,0,100000000
"Department of Health & Human Services","075-0390","Indian Health Services, Indian Health Service, Health and Human Services",0.56,3.26,96.18,6113903.96,35715945.31,1054170150.73,1096000000
"Department of Health & Human Services","075-0511","Program Management, Centers for Medicare and Medicaid Services",0,0,100,0,0,200000000,200000000
"Department of Health & Human Services","075-0600","Salaries and Expenses, Food and Drug Administration, Health and Human Services",0,0,100,0,0,141000000,141000000
"Department of Health & Human Services","075-0807","National Library of Medicine, National Institutes of Health",0,0,100,0,0,10000000,10000000
"Department of Health & Human Services","075-0846","Office of the Director, National Institutes of Health, Health and Human Services",0,0,100,0,0,30000000,30000000
"Department of Health & Human Services","075-0862","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",0,0,100,0,0,10000000,10000000
"Department of Health & Human Services","075-0872","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",0,0,100,0,0,103400000,103400000
"Department of Health & Human Services","075-0875","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services ",0,0,100,0,0,36000000,36000000
"Department of Health & Human Services","075-0885","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",1.05,0,98.95,16058245.68,448.65,1515941305.67,1532000000
"Department of Health & Human Services","075-0898","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services  ",0,0,100,0,0,60000000,60000000
"Department of Health & Human Services","075-0943","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",10.04,0.51,89.45,592403696.14,29817216,5277779087.86,5900000000
"Department of Health & Human Services","075-0944","Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services  ",0,0,100,0,0,12500000,12500000
"Department of Health & Human Services","075-0945","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services",0,0,100,0,0,600000000,600000000
"Department of Health & Human Services","075-1362","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",0,0,100,0,0,425000000,425000000
"Department of Health & Human Services","075-1502","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",0,0,100,0,0,900000000,900000000
"Department of Health & Human Services","075-1515","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",0,0,100,0,0,3500000000,3500000000
"Department of Health & Human Services","075-1536","Children and Families Services Programs, Administration for Children and Families, Health and Human Services",0,0,100,0,0,1874000000,1874000000
"Department of Homeland Security","070-0112","Operations and Support, Management Directorate, Departmental Management, Operations, Intelligence, and Oversight, Homeland Security",0,0,100,0,0,178300000,178300000
"Department of Homeland Security","070-0413","Federal Assistance, Federal Emergency Management Agency, Homeland Security",0,0,100,0,0,400000000,400000000
"Department of Homeland Security","070-0550","Operations and Support, Transportation Security Administration, Homeland Security",0,0,100,0,0,100000000,100000000
"Department of Homeland Security","070-0566","Operations and Support, National Protection and Programs Directorate, Homeland Security",0,0,100,0,0,9100000,9100000
"Department of Homeland Security","070-0610","Operations and Support, Coast Guard, Homeland Security ",0,0,100,0,0,140800000,140800000
"Department of Homeland Security","070-0700","Operations and Support, Federal Emergency Management Agency, Homeland Security",0,0,100,0,0,44987000,44987000
"Department of Homeland Security","070-0702","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security",0,0,100,0,0,44997000000,44997000000
"Department of Housing & Urban Development","086-0144","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development",0,0,100,0,0,2500000,2500000
"Department of Housing & Urban Development","086-0162","Community Development Fund, Community Planning and Development, Housing and Urban Development",0,0,100,0,0,5000000000,5000000000
"Department of Housing & Urban Development","086-0163","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development",0,0,100,0,0,685000000,685000000
"Department of Housing & Urban Development","086-0189","Office of Inspector General, Management and Administration, Housing and Urban Development",0,0,100,0,0,5000000,5000000
"Department of Housing & Urban Development","086-0192","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development",0,0,100,0,0,4000000000,4000000000
"Department of Housing & Urban Development","086-0237","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development",0,0,100,0,0,15000000,15000000
"Department of Housing & Urban Development","086-0302","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",0,0,100,0,0,1250000000,1250000000
"Department of Housing & Urban Development","086-0303","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",0,0,100,0,0,1000000000,1000000000
"Department of Housing & Urban Development","086-0308","Housing Opportunities for Persons with AIDS, Community Planning  and Development, Housing and Urban Development",0,0,100,0,0,65000000,65000000
"Department of Housing & Urban Development","086-0313","Native American Programs, Public and Indian Housing, Housing and Urban Development",0,0,100,0,0,300000000,300000000
"Department of Housing & Urban Development","086-0320","Housing for the Elderly, Housing Programs, Housing and Urban Development",0,0,100,0,0,50000000,50000000
"Department of Housing & Urban Development","086-0335","Administrative Support Offices, Management and Administration, Housing and Urban Development",0,0,100,0,0,35000000,35000000
"Department of Housing & Urban Development","086-0479","Program Offices, Management and Administration, Housing and Urban Development",0,0,100,0,0,15000000,15000000
"Department of Justice","015-0200","Salaries and Expenses, Federal Bureau of Investigation, Justice",0,0,100,0,0,20000000,20000000
"Department of Justice","015-0322","Salaries and Expenses, United States Attorneys, Justice",0,0,100,0,0,3000000,3000000
"Department of Justice","015-0324","Salaries and Expenses, United States Marshals Service, Justice",0,0,100,0,0,15000000,15000000
"Department of Justice","015-0404","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice",0,0,100,0,0,850000000,850000000
"Department of Justice","015-1100","Salaries and Expenses, Drug Enforcement Administration, Justice",0,0,100,0,0,15000000,15000000
"Department of Labor","016-0106","Office of the Inspector General, Departmental Management, Labor",0,0,100,0,0,25000000,25000000
"Department of Labor","016-0165","Salaries and Expenses, Departmental Management, Labor",0,0,100,0,0,15000000,15000000
"Department of Labor","016-0168","Short Time Compensation Programs, Employment and Training Administration, Labor",0,0,100,0,0,250000,250000
"Department of Labor","016-0174","Training and Employment Service, Employment and Training Administration, Labor",0,0,100,0,0,345000000,345000000
"Department of State","019-0113","Diplomatic and Consular Programs, State",2.66,0.06,97.28,13481187.31,293000,493225812.69,507000000
"Department of State","019-1031","Global Health Programs, State",0,0,100,0,0,200000000,200000000
"Department of State","019-1143","Migration and Refugee Assistance, State",0,0,100,0,0,350000000,350000000
"Department of State","019-5713","Consular and Border Security Programs, Administration of Foreign Affairs, State",0,0,100,0,0,81000000,81000000
"Department of the Interior","014-0102","Departmental Operations, Office of the Secretary, Interior",0,0,100,0,0,158400000,158400000
"Department of the Interior","014-0412","Assistance to Territories, Insular Affairs, Interior",0,0,100,0,0,55000000,55000000
"Department of the Interior","014-0680","Water and Related Resources, Bureau of Reclamation, Interior",0,0,100,0,0,12000000,12000000
"Department of the Interior","014-0787","Central Utah Project Completion Account, Central Utah Project, Interior",0,0,100,0,0,500000,500000
"Department of the Interior","014-2100","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",0,0,100,0,0,453000000,453000000
"Department of the Interior","014-2106","Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",0,0,100,0,0,69000000,69000000
"Department of the Interior","014-5065","Policy and Administration, Bureau of Reclamation, Interior",0,0,100,0,0,8100000,8100000
"Department of the Treasury","020-0151","Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury",0,0,100,0,0,75000000,75000000
"Department of the Treasury","020-0501","Payment to the Legal Services Corporation, Legal Services Corporation",0,0,100,0,0,50000000,50000000
"Department of the Treasury","020-0520","Salaries and Expenses, Bureau of the Fiscal Service, Treasury",0,0,100,0,0,78650000,78650000
"Department of the Treasury","020-0912","Taxpayer Services, Internal Revenue Service, Treasury",0,0,100,0,0,359900000,359900000
"Department of the Treasury","020-0913","Enforcement, Internal Revenue Service",0,0,100,0,0,79200000,79200000
"Department of the Treasury","020-0919","Operations Support, Internal Revenue Service, Treasury",0,0,100,0,0,326600000,326600000
"Department of the Treasury","020-1771","Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury",0,0,100,0,0,5000000,5000000
"Department of the Treasury","020-1892","Coronavirus Relief Fund, Departmental Offices, Treasury",0,0,100,0,0,150000000000,150000000000
"Department of the Treasury","020-1894","Air Carrier Worker Support, Departmental Offices, Department of Treasury",0,0,100,0,0,32000000000,32000000000
"Department of Transportation","069-0102","Salaries and Expenses, Office of the Secretary, Transportation",0,0,100,0,0,1753000,1753000
"Department of Transportation","069-0130","Salaries and Expenses, Office of the Inspector General, Transportation",0,0,100,0,0,5000000,5000000
"Department of Transportation","069-1712","State Maritime Academy Operations, Maritime Administration, Transportation",0,0,100,0,0,1000000,1000000
"Department of Transportation","069-1750","Operations and Training, Maritime Administration, Transportation",0,0,100,0,0,3134000,3134000
"Department of Transportation","069-1774","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",0,0,100,0,0,492000000,492000000
"Department of Transportation","069-1775","National Network Grants to the National Railroad Passenger Corporation, Transportation",0,0,100,0,0,526000000,526000000
"Department of Transportation","069-2812","Transit Infrastructure Grants, Federal Transit Administration, Transportation",0,0,100,0,0,25000000000,25000000000
"Department of Transportation","069-5423","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",0,0,100,0,0,56000000,56000000
"Department of Transportation","069-8106","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",0,0,100,0,0,10000000000,10000000000
"Department of Veterans Affairs","036-0140","Medical Community Care, Veterans Health Administration, Veterans Affairs ",0,0,100,0,0,2130000000,2130000000
"Department of Veterans Affairs","036-0142","General Administration, Departmental Administration, Veterans Affairs",0,0,100,0,0,6000000,6000000
"Department of Veterans Affairs","036-0151","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",0,0,100,0,0,13000000,13000000
"Department of Veterans Affairs","036-0152","Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",0,0,100,0,0,100000000,100000000
"Department of Veterans Affairs","036-0160","Medical Services, Veterans Health Administration, Veterans Affairs",0,0,100,0,0,14462000000,14462000000
"Department of Veterans Affairs","036-0162","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",0,0,100,0,0,606000000,606000000
"Department of Veterans Affairs","036-0167","Information Technology Systems, Departmental Administration, Veterans Affairs",0,0,100,0,0,2150000000,2150000000
"Department of Veterans Affairs","036-0170","Office of Inspector General, Departmental Administration, Veterans Affairs",0,0,100,0,0,12500000,12500000
"Department of Veterans Affairs","036-0181","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",0,0,100,0,0,150000000,150000000
"Election Assistance Commission","525-1651","Election Reform Programs, Election Assistance Commission",0,0,100,0,0,400000000,400000000
"Environmental Protection Agency","068-0107","Science and Technology, Environmental Protection Agency",0,0,100,0,0,2250000,2250000
"Environmental Protection Agency","068-0108","Environmental Programs and Management, Environmental Protection Agency",0,0,100,0,0,3910000,3910000
"Federal Communications Commission","027-0100","Salaries and Expenses, Federal Communications Commission",0,0,100,0,0,200000000,200000000
"General Services Administration","047-4540","Working Capital Fund, General Services Administration",0,0,100,0,0,1500000,1500000
"General Services Administration","047-4542","Federal Buildings Fund, General Services Administration",0.19,0,99.81,535444.37,0,274464555.63,275000000
"General Services Administration","047-4549","Federal Citizen Services Fund, General Services Administration",0,0,100,0,0,18650000,18650000
"Inst of American Indian & Alaska Native Culture & Arts Development","373-2900","Payment to the Institute, Institute of American Indian and Alaska Native Culture and Arts Development",0,0,100,0,0,78000,78000
"INSTITUTE OF MUSEUM AND LIBRARY SERVICES","474-0301","Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services ",0,0,100,0,0,50000000,50000000
"Judiciary Branch","010-0920","Salaries and Expenses, Courts of Appeals, District Courts, and Other Judicial Services, The Judiciary",6.58,0.17,93.25,395006.75,10359.67,5600040.21,6005406.63
"Legislative Branch","001-0100","Capital Construction and Operations, Architect of the Capitol",0,0,100,0,0,25000000,25000000
"Legislative Branch","002-0477","Salaries, Capitol Police",0,0,100,0,0,12000000,12000000
"Legislative Branch","005-0107","Salaries and Expenses, Government Accountability Office",0,0,100,0,0,20000000,20000000
"National Aeronautics & Space Administration","080-0122","Safety, Security and Missions Services, National Aeronautics and Space Administration",0,0,100,0,0,60000000,60000000
"National Archives & Records Administration","088-0300","Operating Expenses, National Archives and Records Administration",0,0,100,0,0,8100000,8100000
"NATIONAL ENDOWMENT FOR THE HUMANITIES","418-0200","Grants and Administration, National Endowment for the Humanities, National Foundation on the Arts and Humanities ",0,0,100,0,0,75000000,75000000
"NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES","417-0100","Grants and Administration, National Endowment for the Arts, National Foundation on the Arts and Humanities",0,0,100,0,0,75000000,75000000
"National Science Foundation","049-0100","Research and Related Activities, National Science Foundation",0,0,100,0,0,75000000,75000000
"National Science Foundation","049-0180","Agency Operations and Award Management, National Science Foundation",0,0,100,0,0,1000000,1000000
"Nuclear Regulatory Commission","031-0200","Salaries and Expenses, Nuclear Regulatory Commission",0,0,100,0,0,3300000,3300000
"Office of Personnel Management","024-0100","Salaries and Expenses, Office of Personnel Management",0,0,100,0,0,12100000,12100000
"RAILROAD RETIREMENT BOARD","060-0117","Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board",0,0,100,0,0,133416822.2,133416822.2
"RAILROAD RETIREMENT BOARD","060-0121","Payment to Limitation on Administration, Railroad Retirement Board",0,0,100,0,0,5000000,5000000
"Small Business Administration","073-0100","Salaries and Expenses, Small Business Administration",12.72,0.01,87.28,85833000.57,59915.48,589107083.95,675000000
"Small Business Administration","073-0200","Office of Inspector General, Small Business Administration",0,0,100,0,0,25000000,25000000
"Small Business Administration","073-0400","Entrepreneurial Development Programs, Small Business Administration",0,0,100,0,0,265000000,265000000
"Small Business Administration","073-0500","Emergency EIDL Grants, Small Business Administration",0,0,100,0,0,10000000000,10000000000
"Small Business Administration","073-1152","Disaster Loans Program Account, Small Business Administration",0,0,0,0,582000000,-582000000,0
"Small Business Administration","073-1154","Business Loans Program Account, Small Business Administration",0,0,100,0,0,366000000000,366000000000
"Smithsonian Institution","033-0100","Salaries and Expenses, Smithsonian Institution",0,0,100,0,0,7500000,7500000
"Social Security Administration","028-8704","Salaries and Expenses, Social Security Administration",0,0,100,0,0,338000000,338000000
