"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Agriculture","012-2020/2021-1103-000","Capital Improvement and Maintenance, Forest Service, Agriculture","012-1103","Natural Resources and Environment",26800000,8446840.78,18353159.22,-2442653.25,"N","No","3"
"Department of Agriculture","012-2020/2021-1104-000","Forest and Rangeland Research, Forest Service, Agriculture","012-1104","Natural Resources and Environment",3000000,62448.9,2937551.1,-47554.84,"N","No","3"
"Department of Agriculture","012-2020/2021-1106-000","National Forest System, Forest Service, Agriculture","012-1106","Natural Resources and Environment",34000000,16056161.59,17943838.41,-6527916.34,"N","No","3"
"Department of Agriculture","012-2020/2021-1115-000","Wildland Fire Management, Forest Service, Agriculture ","012-1115","Natural Resources and Environment",7000000,4999287.53,2000712.47,-3534083.64,"N","No","3"
"Department of Agriculture","012-2020/2021-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture","012-1232","Community and Regional Development",100000000,87949568,12050432,-3000000,"N","No","3"
"Department of Agriculture","012-X-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service,  Agriculture","012-1232","Community and Regional Development",25000000,750000,24250000,-750000,"N","No","3"
"Department of Agriculture","012-2020/2021-1600-000","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture","012-1600","Agriculture",55000000,55000000,0,-55000000,"N","No","3"
"Department of Agriculture","012-2020/2021-1902-000","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture","012-1902","Community and Regional Development",20500000,7432436.94,13067563.06,-1662939.59,"N","Yes","3"
"Department of Agriculture","012-2020/2021-2500-000","Marketing Services, Agricultural Marketing Service, Agriculture","012-2500","Agriculture",45000000,12721658.39,32278341.61,-12153515.01,"N","No","3"
"Department of Agriculture","012-2020/2021-2900-000","Salaries and Expenses, Foreign Agricultural Service, Agriculture","012-2900","Agriculture",4000000,1902050.11,2097949.89,-1709612.45,"N","No","3"
"Department of Agriculture","012-2020/2020-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",12800000000,11717700679,1082299321,-8425384359.92,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",100000000,100000000,0,-96418047.76,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",15810000000,15749949830,60050170,-15687758413.07,"N","No","3"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",400000000,214256868.27,185743131.73,-95968386.8,"M","No","2"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",450000000,391210119.99,58789880.01,-161446680.24,"N","No","3"
"Department of Agriculture","012-2020/2021-3510-000","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service","012-3510","Income Security",500000000,0,500000000,0,"M","No","2"
"Department of Agriculture","012-2020/2021-3539-000","Child Nutrition Programs, Food and Nutrition Service","012-3539","Income Security",8800000000,7038590002.62,1761409997.38,-5510719776.44,"N","No","3"
"Department of Agriculture","012-2020/2021-3700-000","Food Safety and Inspection Service, Agriculture","012-3700","Health",33000000,17252624.3,15747375.7,-12106496.67,"N","No","3"
"Department of Commerce","013-2020/2022-0125-000","Salaries and Expenses, Economic Development Administration, Commerce","013-0125","Community and Regional Development",10000000,9231120.06,768879.94,-3411260.57,"N","No","3"
"Department of Commerce","013-2020/2022-0126-000","Office of Inspector General, Departmental Management, Commerce","013-0126","Commerce and Housing Credit",3000000,129386.44,2870613.56,-78025.6,"N","No","3"
"Department of Commerce","013-2020/2021-0201-000","Minority Business Development, Minority Business Development Agency, Commerce","013-0201","Commerce and Housing Credit",10000000,10000000,0,-2399082.11,"O","No","3"
"Department of Commerce","013-2020/2021-0500-000","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ","013-0500","Commerce and Housing Credit",6000000,4446913.73,1553086.27,-3125609.66,"N","No","3"
"Department of Commerce","013-2020/2021-0525-000","Industrial Technology Services, National Institute of Standards and Technology, Commerce","013-0525","Commerce and Housing Credit",60000000,59985440.68,14559.32,-5620840.84,"N","No","3"
"Department of Commerce","013-2020/2021-1450-000","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce","013-1450","Natural Resources and Environment",20300000,11437993.45,8862006.55,-4764511.21,"N","No","3"
"Department of Commerce","013-2020/2022-2050-000","Economic Development Assistance Programs, Economic Development Administration, Commerce","013-2050","Community and Regional Development",1487000000,805318244.42,681681755.58,-22259494.54,"N","No","3"
"Department of Commerce","013-2020/2021-2055-000","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce","013-2055","Commerce and Housing Credit",299700000,297154151.92,2545848.08,-1512569.8,"N","No","3"
"Department of Defense","017-2020/2020-1106-000","Operation and Maintenance, Marine Corps","017-1106","National Defense",190477000,195380620.43,-4903620.43,-133371199.35,"N","No","3"
"Department of Defense","017-2020/2020-1108-000","Reserve Personnel, Marine Corps","017-1108","National Defense",224000,0,224000,0,"N","No","3"
"Department of Defense","017-2020/2020-1105-000","Military Personnel, Marine Corps","017-1105","National Defense",5376000,7752.96,5368247.04,-10780,"N","No","3"
"Department of Defense","017-2020/2020-1806-000","Operation and Maintenance, Navy Reserve","017-1806","National Defense",6300000,4029404.63,2270595.37,-1712180.05,"N","No","3"
"Department of Defense","017-2020/2022-1810-000","Other Procurement, Navy","017-1810","National Defense",10800000,0,10800000,0,"N","No","3"
"Department of Defense","017-2020/2020-1453-000","Military Personnel, Navy","017-1453","National Defense",3000000,643323.25,2356676.75,-620171.59,"N","No","3"
"Department of Defense","017-2020/2020-1804-000","Operation and Maintenance, Navy","017-1804","National Defense",906242000,802693986.83,103548013.17,-386829474.66,"N","No","3"
"Department of Defense","097-X-4930-005","Defense Working Capital Fund, Defense Agencies","097-4930","National Defense",530200000,501041172.3,29158827.7,-501041172.3,"N","No","3"
"Department of Defense","057-2020/2022-3080-000","Other Procurement, Air Force","057-3080","National Defense",32083000,1840682.25,30242317.75,-1355093.82,"N","No","3"
"Department of Defense","057-2020/2020-3400-000","Operation and Maintenance, Air Force","057-3400","National Defense",938379000,957589374.1,-19210374.1,-695054427.24,"N","No","3"
"Department of Defense","057-2020/2020-3500-000","Military Personnel, Air Force","057-3500","National Defense",106140000,106140000.02,-0.02,-104445967.13,"N","No","3"
"Department of Defense","057-2020/2021-3600-000","Research, Development, Test, and Evaluation, Air Force","057-3600","National Defense",60005000,25558460.43,34446539.57,-9330395.77,"N","No","3"
"Department of Defense","057-2020/2020-3700-000","Reserve Personnel, Air Force","057-3700","National Defense",16700000,16676500.01,23499.99,-16637371.5,"N","No","3"
"Department of Defense","057-2020/2020-3740-000","Operation and Maintenance, Air Force Reserve","057-3740","National Defense",19659000,20075979.32,-416979.32,-5168094.15,"N","No","3"
"Department of Defense","097-2020/2021-0400-000","Research, Development, Test, and Evaluation, Defense-Wide","097-0400","National Defense",298096000,136366154.66,161729845.34,-16656319.42,"N","No","3"
"Department of Defense","097-2020/2021-0819-000","Overseas Humanitarian, Disaster, and Civic AID, Defense","097-0819","National Defense",120305000,0,120305000,0,"N","No","3"
"Department of Defense","097-X-4930-000","Department of Defense Working Capital Fund, Defense","097-4930","National Defense",0,0,0,0,"N","No","3"
"Department of Defense","097-X-4930-002","Defense Working Capital Fund, Navy","097-4930","National Defense",475000000,475000000,0,-475000000,"N","No","3"
"Department of Defense","097-X-4930-003","Defense Working Capital Fund, Air Force","097-4930","National Defense",477800000,477749662.35,50337.65,-477685401,"N","No","3"
"Department of Defense","097-X-4930-004","Defense Working Capital Fund, Defense Commissary Agency","097-4930","National Defense",34667000,34499068.98,167931.02,-33997280.6,"N","No","3"
"Department of Defense","021-2020/2021-2040-000","Research, Development, Test, and Evaluation, Army","021-2040","National Defense",65292000,38809174.28,26482825.72,-27846174.28,"N","No","3"
"Department of Defense","021-2020/2020-2060-000","National Guard Personnel, Army","021-2060","National Defense",69587000,68681525.67,905474.33,-56044784.61,"N","No","3"
"Department of Defense","021-2020/2020-2065-000","Operation and Maintenance, Army National Guard","021-2065","National Defense",64564000,62534091.04,2029908.96,-12343392.67,"N","No","3"
"Department of Defense","021-2020/2020-2080-000","Operation and Maintenance, Army Reserve","021-2080","National Defense",36000000,35941657.11,58342.89,-4559052.06,"N","No","3"
"Department of Defense","097-2020/2022-0300-000","Procurement, Defense-Wide","097-0300","National Defense",2105000,736001,1368999,0,"N","No","3"
"Department of Defense","097-X-0360-000","Defense Production Act Purchases, Defense","097-0360","National Defense",900000000,732012055.36,167987944.64,-246907307.42,"N","No","3"
"Department of Defense","097-X-0361-000","Defense Production Act Program Account. Defense","097-0361","National Defense",100000000,0,100000000,0,"N","Yes","3"
"Department of Defense","057-2020/2020-3840-000","Operation and Maintenance, Air National Guard","057-3840","National Defense",16954000,14370301.34,2583698.66,-3760221.89,"N","No","3"
"Department of Defense","057-2020/2020-3850-000","National Guard Personnel, Air Force","057-3850","National Defense",57386000,4750381.56,52635618.44,-2498682.79,"N","No","3"
"Department of Defense","097-2020/2021-0107-000","Office of the Inspector General, Defense","097-0107","National Defense",7992859,0,7992859,0,"N","No","3"
"Department of Defense","021-2020/2020-2010-000","Military Personnel, Army","021-2010","National Defense",89438000,89438000,0,-89438000,"N","No","3"
"Department of Defense","021-2020/2020-2020-000","Operation and Maintenance, Army","021-2020","National Defense",888380000,881416855.27,6963144.73,-494345065.58,"N","No","3"
"Department of Defense","021-2020/2022-2035-000","Other Procurement, Army","021-2035","National Defense",61458000,56398558.78,5059441.22,-4350635.36,"N","No","3"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",30000000,7860130.52,22139869.48,0,"N","No","3"
"Department of Defense","097-2020/2020-0130-000","Defense Health Program, Defense","097-0130","National Defense",1121027000,756133912.23,364893087.77,-237817757.68,"N","No","3"
"Department of Defense","097-2020/2021-0130-000","Defense Health Program, Defense","097-0130","National Defense",1351900000,814872612.59,537027387.41,-110983476.68,"N","No","3"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",82000000,61201680,20798320,-5227431.75,"M","No","2"
"Department of Defense","097-2020/2020-0107-000","Office of the Inspector General, Defense","097-0107","National Defense",12007141,11760197.27,246943.73,-1717644.26,"N","No","3"
"Department of Defense","097-2020/2021-0390-000","Chemical Agents and Munitions Destruction, Defense","097-0390","National Defense",14900000,14900000,0,0,"N","No","3"
"Department of Defense","097-2020/2020-0100-000","Operation and Maintenance, Defense-Wide, Defense","097-0100","National Defense",287730000,232071055.35,55658944.65,-38091245.43,"N","No","3"
"Department of Education","091-2020/2021-0251-000","Education Stabilization Fund, Department of Education","091-0251","Education, Training, Employment, and Social Services",30596250000,30087926025.06,508323974.94,-11160293139.82,"N","No","3"
"Department of Education","091-2020/2021-0602-000","Gallaudet University, Special Institutions for Persons with Disabilities, Education","091-0602","Education, Training, Employment, and Social Services",7000000,7000000,0,-1714222.9,"N","No","3"
"Department of Education","091-2020/2021-0603-000","Howard University, Education","091-0603","Education, Training, Employment, and Social Services",13000000,13000000,0,-13000000,"N","No","3"
"Department of Education","091-2020/2022-1400-000","Office of the Inspector General, Departmental Management, Education","091-1400","Administration of Justice",7000000,94560.87,6905439.13,-94560.87,"N","No","3"
"Department of Education","091-2020/2020-1901-000","Historically Black College and University Capital Financing, Program Account, Department of Education","091-1901","Education, Training, Employment, and Social Services",62000000,32263617,29736383,-32263617,"O","No","3"
"Department of Education","091-2020/2020-0247-000","Health Education Assistance Loans Program Account, Education","091-0247","Education, Training, Employment, and Social Services",2465430,2465430,0,-2465430,"O","No","3"
"Department of Education","091-2020/2021-0203-000","Safe Schools and Citizenship Education,  Education","091-0203","Education, Training, Employment, and Social Services",100000000,0,100000000,0,"N","No","3"
"Department of Education","091-2020/2020-0206-000","Teach Grant Program Account,  Education","091-0206","Education, Training, Employment, and Social Services",10454914,10454914,0,-10454914,"O","No","3"
"Department of Education","091-2020/2020-0243-000","Federal Direct Student Loan Program, Education","091-0243","Education, Training, Employment, and Social Services",25092878387,25092878387,0,-25092878387,"O","No","3"
"Department of Education","091-2020/2021-0202-000","Student and Administration, Education","091-0202","Education, Training, Employment, and Social Services",16627808.28,16627808.28,0,-9406648.32,"N","No","3"
"Department of Education","091-2020/2020-0231-000","Federal Family Education Loan Program Account, Education","091-0231","Education, Training, Employment, and Social Services",1770043189,1770043189,0,-1770043189,"O","No","3"
"Department of Energy","089-2020/2021-0228-000","Departmental Administration, Energy Programs, Energy","089-0228","Energy",28000000,21481239.96,6518760.04,-10480717.24,"N","No","3"
"Department of Energy","089-2020/2021-0222-000","Science, Energy Programs, Energy","089-0222","General Science, Space, and Technology",99500000,98972008.85,527991.15,-74446207.57,"N","No","3"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",61000000,33131073.84,27868926.16,-6630482.35,"L","No","1"
"Department of Health & Human Services","075-X-0391-000","Indian Health Facilities, Indian Health Service, Health and Human Services","075-0391","Health",125000000,97207104.98,27792895.02,-85316655.31,"N","No","3"
"Department of Health & Human Services","075-2020/2023-0511-000","Program Management, Centers for Medicare and Medicaid Services","075-0511","Health",200000000,84188149.23,115811850.77,-12355931.08,"N","No","3"
"Department of Health & Human Services","075-X-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",600000000,599118149,881851,-133342560.21,"P","No","3.5"
"Department of Health & Human Services","075-2020/2022-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",64000000,52661609.81,11338390.19,-48145289.89,"M","No","2"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",826000000,509395807.98,316604192.02,-108065543.92,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",706000000,208674931.06,497325068.94,-9605509.23,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services  ","075-0898","Health",60000000,17382428.66,42617571.34,-955495.87,"N","No","3"
"Department of Health & Human Services","075-2020/2021-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",907000000,563093050.42,343906949.58,-506456135.03,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1900000000,1807638236.71,92361763.29,-604595428.18,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",4000000000,1897615037.58,2102384962.42,-220167841.48,"N","No","3"
"Department of Health & Human Services","075-X-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1000000000,248591517.85,751408482.15,-157541105.31,"P","No","3.5"
"Department of Health & Human Services","075-X-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services ","075-0898","Health",500000000,341543267,158456733,-93985153.63,"P","No","3.5"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",2000000,1248534.41,751465.59,-1056667.37,"L","No","1"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",4000000,417068.41,3582931.59,-329140.09,"N","No","3"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",6000000,0,6000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2022-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",0,0,0,0,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",3297388000,2786174158.08,511213841.92,-592734539.37,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",26721500000,23666276095.26,3055223904.74,-4054881800.47,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",1000000000,500450536.17,499549463.83,-498692095.44,"M","No","2"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",100000000000,26110989879.53,73889010120.47,-25865733085.44,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",96566000000,88609621062.56,7956378937.44,-77113536222.57,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",250000000,250000000,0,-172157997.35,"M","No","2"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",955000000,954999970,30,-276884429.24,"N","No","3"
"Department of Health & Human Services","075-X-0343-000","Covered Countermeasure Process Fund, Health Resources and Services Administration, Health and Human Services","075-0343","Health",612000,249640.8,362359.2,0,"L","No","1"
"Department of Health & Human Services","075-2020/2022-0356-000","Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services","075-0356","Health",90000000,89680006,319994,-14177223.36,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0357-000","Health Care Systems, Health Resources and Services Administration, Health and Human Services","075-0357","Health",5000000,5000000,0,-1166072.97,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0358-000","Rural Health, Health Resources and Services Administration, Health and Human Services","075-0358","Health",180000000,177861937.41,2138062.59,-108800849.92,"N","No","3"
"Department of Health & Human Services","075-2020/2020-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",1320000000,1319475291.26,524708.74,-559292249.52,"O","No","3"
"Department of Health & Human Services","075-2020/2024-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",100000000,99948424,51576,-78752795.62,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0872-000","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services","075-0872","Health",103400000,53148148,50251852,-441921.43,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0875-000","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services ","075-0875","Health",36000000,21699795.8,14300204.2,-3898578.98,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1536-000","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",1873320318,1806135099.99,67185218.01,-257547600.7,"N","No","3"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",22000000,65540,21934460,-65540,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0807-000","National Library of Medicine, National Institutes of Health","075-0807","Health",10000000,5738756.7,4261243.3,-1542644.81,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",30000000,7708252,22291748,0,"N","No","3"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",80000000,8642052.2,71357947.8,-2798380.89,"N","No","3"
"Department of Health & Human Services","075-X-0849-000","National Cancer Institute, National Institutes of Health, Health and Human Services","075-0849","Health",306000000,80381777.38,225618222.62,-3305730.9,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0862-000","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services","075-0862","Health",10000000,6276981.88,3723018.12,-631625.59,"L","No","1"
"Department of Health & Human Services","075-2020/2021-1502-000","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services","075-1502","Income Security",900000000,900000000,0,-207380639.58,"N","No","3"
"Department of Health & Human Services","075-X-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",1000000000,282870884.72,717129115.28,-31368716.17,"P","No","3.5"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"L","No","1"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1362-000","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services","075-1362","Health",425000000,422484016,2515984,-18046276.56,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1515-000","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",3466538903,3457760338.19,8778564.81,-1569563672.36,"N","No","3"
"Department of Health & Human Services","075-2020/2021-0944-000","Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services  ","075-0944","Health",12500000,12254129.3,245870.7,-1681344.84,"N","No","3"
"Department of Homeland Security","070-2020/2024-0540-000","Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security","070-0540","Administration of Justice",107000000,8684188.47,98315811.53,-1274262.61,"N","No","3"
"Department of Homeland Security","070-2020/2024-0530-000","Operations and Support, U.S. Customs and Border Protection, Homeland Security","070-0530","Administration of Justice",182000000,4143408.89,177856591.11,-922082.28,"N","No","3"
"Department of Homeland Security","070-2020/2021-0700-000","Operations and Support, Federal Emergency Management Agency, Homeland Security","070-0700","Community and Regional Development",44987000,29673203.85,15313796.15,-3620757.29,"N","No","3"
"Department of Homeland Security","070-2020/2021-0610-000","Operations and Support, Coast Guard, Homeland Security ","070-0610","Transportation",140800000,39023577.13,101776422.87,-17769657.77,"N","No","3"
"Department of Homeland Security","070-2020/2021-0413-000","Federal Assistance, Federal Emergency Management Agency, Homeland Security","070-0413","Community and Regional Development",400000000,367754810.02,32245189.98,-73233297.48,"N","No","3"
"Department of Homeland Security","070-2020/2021-0550-000","Operations and Support, Transportation Security Administration, Homeland Security","070-0550","Transportation",100000000,35252444.59,64747555.41,-7502281.35,"N","No","3"
"Department of Homeland Security","070-2020/2021-0566-000","Operations and Support, National Protection and Programs Directorate, Homeland Security","070-0566","Community and Regional Development",9100000,9083499.65,16500.35,-1833937.96,"N","No","3"
"Department of Homeland Security","070-X-0702-000","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security","070-0702","Community and Regional Development",44997000000,29249099765.04,15747900234.96,0,"N","No","3"
"Department of Homeland Security","070-X-0200-000","Operations and Support, Office of Inspector General, Homeland Security","070-0200","Administration of Justice",3000000,24119.05,2975880.95,-14338.69,"N","No","3"
"Department of Homeland Security","070-2020/2021-0112-000","Operations and Support, Management Directorate, Departmental Management, Operations, Intelligence, and Oversight, Homeland Security","070-0112","Administration of Justice",178300000,80952825.38,97347174.62,-20064477.87,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0479-000","Program Offices, Management and Administration, Housing and Urban Development","086-0479","Income Security",15000000,60059.9,14939940.1,-31546.06,"N","No","3"
"Department of Housing & Urban Development","086-2020/2024-0313-000","Native American Programs, Public and Indian Housing, Housing and Urban Development","086-0313","Income Security",300000000,294643170,5356830,-40671743.75,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0320-000","Housing for the Elderly, Housing Programs, Housing and Urban Development","086-0320","Income Security",50000000,19109026,30890974,-15590607,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0335-000","Administrative Support Offices, Management and Administration, Housing and Urban Development","086-0335","Income Security",35000000,10738929.53,24261070.47,-1536109.22,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0144-000","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development","086-0144","Administration of Justice",2500000,1869154.95,630845.05,-853447.51,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0162-000","Community Development Fund, Community Planning and Development, Housing and Urban Development","086-0162","Community and Regional Development",5000000000,1763123009,3236876991,-66522440.12,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0163-000","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development","086-0163","Income Security",685000000,684992032.5,7967.5,-311749989.07,"N","No","3"
