"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Commerce","013-2020/2022-2050-000","Economic Development Assistance Programs, Economic Development Administration, Commerce","013-2050","Community and Regional Development",1487000000,759017296.42,727982703.58,-5784012.61,"N","No","3"
"Department of Commerce","013-2020/2021-2055-000","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce","013-2055","Commerce and Housing Credit",299700000,291846946,7853054,-7758.88,"N","No","3"
"Department of Defense","097-X-4930-005","Defense Working Capital Fund, Defense Agencies","097-4930","National Defense",530200000,0,530200000,0,"N","No","3"
"Department of Defense","057-2020/2020-3850-000","National Guard Personnel, Air Force","057-3850","National Defense",211386000,4735851.09,206650148.91,-2191425.13,"N","No","3"
"Department of Defense","097-2020/2020-0130-000","Defense Health Program, Defense","097-0130","National Defense",2121305000,433358820.47,1687946179.53,-163633214.78,"N","No","3"
"Department of Defense","021-2020/2020-2010-000","Military Personnel, Army","021-2010","National Defense",198600000,89438000,109162000,-89438000,"N","No","3"
"Department of Defense","021-2020/2020-2020-000","Operation and Maintenance, Army","021-2020","National Defense",361107000,269215183.43,91891816.57,-141470386.98,"N","No","3"
"Department of Defense","021-2020/2022-2035-000","Other Procurement, Army","021-2035","National Defense",63621000,52656085.27,10964914.73,-2154402.33,"N","No","3"
"Department of Defense","021-2020/2021-2040-000","Research, Development, Test, and Evaluation, Army","021-2040","National Defense",63775000,21649437.92,42125562.08,-21634938.37,"N","No","3"
"Department of Defense","017-2020/2020-1105-000","Military Personnel, Marine Corps","017-1105","National Defense",5376000,7752.96,5368247.04,-10780,"N","No","3"
"Department of Defense","017-2020/2020-1106-000","Operation and Maintenance, Marine Corps","017-1106","National Defense",180477000,175023533.74,5453466.26,-110301177.07,"N","No","3"
"Department of Defense","017-2020/2020-1108-000","Reserve Personnel, Marine Corps","017-1108","National Defense",224000,0,224000,0,"N","No","3"
"Department of Defense","017-2020/2020-1453-000","Military Personnel, Navy","017-1453","National Defense",14000000,53371438.84,-39371438.84,-55124807.22,"N","No","3"
"Department of Defense","017-2020/2020-1804-000","Operation and Maintenance, Navy","017-1804","National Defense",540871000,407151701.09,133719298.91,-301552424.12,"N","No","3"
"Department of Defense","017-2020/2020-1806-000","Operation and Maintenance, Navy Reserve","017-1806","National Defense",6300000,1617270.53,4682729.47,-1425041.96,"N","No","3"
"Department of Defense","057-2020/2020-3840-000","Operation and Maintenance, Air National Guard","057-3840","National Defense",41554000,3670707.38,37883292.62,-2116763.8,"N","No","3"
"Department of Defense","097-2020/2020-0100-000","Operation and Maintenance, Defense-Wide, Defense","097-0100","National Defense",146923000,94986482.91,51936517.09,-30837947.52,"N","No","3"
"Department of Defense","097-2020/2020-0107-000","Office of the Inspector General, Defense","097-0107","National Defense",20000000,306129.51,19693870.49,-249428.68,"N","No","3"
"Department of Defense","057-2020/2022-3080-000","Other Procurement, Air Force","057-3080","National Defense",32083000,1840682.25,30242317.75,-699055.36,"N","No","3"
"Department of Defense","097-2020/2021-0130-000","Defense Health Program, Defense","097-0130","National Defense",1351900000,734711794.29,617188205.71,-70091426.93,"N","No","3"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",82000000,60618864.62,21381135.38,-2969051.88,"M","No","2"
"Department of Defense","097-2020/2022-0130-000","Defense Health Program, Defense","097-0130","National Defense",30000000,1533557.19,28466442.81,-870.96,"N","No","3"
"Department of Defense","057-2020/2020-3700-000","Reserve Personnel, Air Force","057-3700","National Defense",41700000,21305596.92,20394403.08,-15573152.92,"N","No","3"
"Department of Defense","057-2020/2020-3400-000","Operation and Maintenance, Air Force","057-3400","National Defense",487269000,377172532.25,110096467.75,-120183718.83,"N","No","3"
"Department of Defense","057-2020/2020-3500-000","Military Personnel, Air Force","057-3500","National Defense",170020000,109503570.79,60516429.21,-91200771.76,"N","No","3"
"Department of Defense","057-2020/2021-3600-000","Research, Development, Test, and Evaluation, Air Force","057-3600","National Defense",128555000,29066239.08,99488760.92,-6494106.75,"N","No","3"
"Department of Defense","097-X-4930-000","Department of Defense Working Capital Fund, Defense","097-4930","National Defense",0,0,0,0,"N","No","3"
"Department of Defense","057-2020/2020-3740-000","Operation and Maintenance, Air Force Reserve","057-3740","National Defense",8000000,5400277.17,2599722.83,-342991.34,"N","No","3"
"Department of Defense","097-X-4930-004","Defense Working Capital Fund, Defense Commissary Agency","097-4930","National Defense",34667000,34241000,426000,-33661000,"N","No","3"
"Department of Defense","021-2020/2020-2080-000","Operation and Maintenance, Army Reserve","021-2080","National Defense",36000000,19969566.57,16030433.43,-2606999.79,"N","No","3"
"Department of Defense","097-X-0361-000","Defense Production Act Program Account. Defense","097-0361","National Defense",100000000,0,100000000,0,"N","Yes","3"
"Department of Defense","021-2020/2020-2060-000","National Guard Personnel, Army","021-2060","National Defense",239679000,51353208.78,188325791.22,-38919580.14,"N","No","3"
"Department of Defense","021-2020/2020-2065-000","Operation and Maintenance, Army National Guard","021-2065","National Defense",79163000,51729810.21,27433189.79,-7671406.29,"N","No","3"
"Department of Defense","097-X-0360-000","Defense Production Act Purchases, Defense","097-0360","National Defense",900000000,698515205.36,201484794.64,-141564322.55,"N","No","3"
"Department of Defense","097-X-4930-002","Defense Working Capital Fund, Navy","097-4930","National Defense",475000000,0,475000000,0,"N","No","3"
"Department of Defense","097-X-4930-003","Defense Working Capital Fund, Air Force","097-4930","National Defense",477800000,2742653.85,475057346.15,-2611355.8,"N","No","3"
"Department of Defense","097-2020/2021-0400-000","Research, Development, Test, and Evaluation, Defense-Wide","097-0400","National Defense",312996000,183630552.46,129365447.54,-12608485.63,"N","No","3"
"Department of Defense","097-2020/2022-0300-000","Procurement, Defense-Wide","097-0300","National Defense",2105000,0,2105000,0,"N","No","3"
"Department of Education","091-2020/2021-0203-000","Safe Schools and Citizenship Education,  Education","091-0203","Education, Training, Employment, and Social Services",100000000,0,100000000,0,"N","No","3"
"Department of Education","091-2020/2020-0247-000","Health Education Assistance Loans Program Account, Education","091-0247","Education, Training, Employment, and Social Services",1696387,1696387,0,-1696387,"O","No","3"
"Department of Education","091-2020/2021-0202-000","Student and Administration, Education","091-0202","Education, Training, Employment, and Social Services",40000000,16130746.64,23869253.36,-8677654.52,"N","No","3"
"Department of Education","091-2020/2021-0603-000","Howard University, Education","091-0603","Education, Training, Employment, and Social Services",13000000,13000000,0,-13000000,"N","No","3"
"Department of Education","091-2020/2021-0251-000","Education Stabilization Fund, Department of Education","091-0251","Education, Training, Employment, and Social Services",30596250000,29792684051.39,803565948.61,-10057210850.47,"N","No","3"
"Department of Education","091-2020/2021-0602-000","Gallaudet University, Special Institutions for Persons with Disabilities, Education","091-0602","Education, Training, Employment, and Social Services",7000000,7000000,0,-1142057.25,"N","No","3"
"Department of Education","091-2020/2021-0800-000","Program Administration, Departmental Management, Education","091-0800","Education, Training, Employment, and Social Services",8000000,1583331.14,6416668.86,-332790.81,"N","No","3"
"Department of Education","091-2020/2022-1400-000","Office of the Inspector General, Departmental Management, Education","091-1400","Administration of Justice",7000000,94560.87,6905439.13,-94560.87,"N","No","3"
"Department of Energy","089-2020/2021-0228-000","Departmental Administration, Energy Programs, Energy","089-0228","Energy",28000000,20084351.15,7915648.85,-8444313.57,"N","No","3"
"Department of Energy","089-2020/2021-0222-000","Science, Energy Programs, Energy","089-0222","General Science, Space, and Technology",99500000,98427326.32,1072673.68,-52240944.9,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0358-000","Rural Health, Health Resources and Services Administration, Health and Human Services","075-0358","Health",180000000,176078922.3,3921077.7,-103726899.63,"N","No","3"
"Department of Health & Human Services","075-2020/2020-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",1320000000,1319200628.26,799371.74,-466033538.87,"O","No","3"
"Department of Health & Human Services","075-2020/2022-0357-000","Health Care Systems, Health Resources and Services Administration, Health and Human Services","075-0357","Health",5000000,5000000,0,-728864.98,"N","No","3"
"Department of Health & Human Services","075-X-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",1000000000,43560600.01,956439399.99,-9698000,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",100000000,100000000,0,-73754262.25,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0862-000","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services","075-0862","Health",10000000,6005494.26,3994505.74,-444566.81,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0872-000","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services","075-0872","Health",103400000,29148148,74251852,-319601.76,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0875-000","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services ","075-0875","Health",36000000,16094500.12,19905499.88,-3075137.14,"N","No","3"
"Department of Health & Human Services","075-X-0849-000","National Cancer Institute, National Institutes of Health, Health and Human Services","075-0849","Health",306000000,13085151.01,292914848.99,-1932010.74,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",706000000,186774131.14,519225868.86,-13992828.62,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services  ","075-0898","Health",60000000,6504731.77,53495268.23,-569364.16,"N","No","3"
"Department of Health & Human Services","075-X-0898-000","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services ","075-0898","Health",500000000,272235554.2,227764445.8,-24524091.95,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0885-000","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","Health",826000000,483012744.73,342987255.27,-77595756.41,"L","No","1"
"Department of Health & Human Services","075-X-0343-000","Covered Countermeasure Process Fund, Health Resources and Services Administration, Health and Human Services","075-0343","Health",612000,0,612000,0,"L","No","1"
"Department of Health & Human Services","075-2020/2022-0356-000","Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services","075-0356","Health",90000000,89032290,967710,-10345377.07,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0846-000","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","Health",30000000,2570686,27429314,0,"N","No","3"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",2000000,989911.01,1010088.99,-889641.91,"L","No","1"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",4000000,416000,3584000,-328071.68,"N","No","3"
"Department of Health & Human Services","075-X-0128-000","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","Health",6000000,0,6000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2022-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",0,0,0,0,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",2997388000,2810732278.85,186655721.15,-472282349.41,"L","No","1"
"Department of Health & Human Services","075-2020/2024-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",26721500000,22665432544.44,4056067455.56,-3206566319.18,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",1000000000,316696416.54,683303583.46,-314953831.85,"M","No","2"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",100000000000,23943657485.75,76056342514.25,-23937174393.36,"N","No","3"
"Department of Health & Human Services","075-X-0140-000","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services","075-0140","Health",96566000000,87363376723.35,9202623276.65,-75797822694.43,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",250000000,250000000,0,-155889558,"M","No","2"
"Department of Health & Human Services","075-2020/2021-0142-000","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services","075-0142","Education, Training, Employment, and Social Services",955000000,954999970,30,-249370299.16,"N","No","3"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",22000000,0,22000000,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2024-0807-000","National Library of Medicine, National Institutes of Health","075-0807","Health",10000000,2168243.07,7831756.93,-415369.81,"N","No","3"
"Department of Health & Human Services","075-2020/2021-0944-000","Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services  ","075-0944","Health",12500000,6487091.99,6012908.01,-1198163.51,"N","No","3"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"L","No","1"
"Department of Health & Human Services","075-X-0945-000","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services","075-0945","Health",300000000,0,300000000,0,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1362-000","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services","075-1362","Health",425000000,423368053,1631947,-11152464.18,"N","No","3"
"Department of Health & Human Services","075-X-0360-000","Primary Health Care, Health Resources and Services Administration, Health and Human Services","075-0360","Health",600000000,599244287,755713,-92669092.86,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",907000000,542314684.22,364685315.78,-481209824.83,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0390-000","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","Health",64000000,51065649.42,12934350.58,-46467431.66,"M","No","2"
"Department of Health & Human Services","075-X-0391-000","Indian Health Facilities, Indian Health Service, Health and Human Services","075-0391","Health",125000000,92995363.21,32004636.79,-81879987.77,"N","No","3"
"Department of Health & Human Services","075-2020/2023-0511-000","Program Management, Centers for Medicare and Medicaid Services","075-0511","Health",200000000,43837038.19,156162961.81,-6396259.58,"N","No","3"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",61000000,23522250.05,37477749.95,-3741624.58,"L","No","1"
"Department of Health & Human Services","075-X-0600-000","Salaries and Expenses, Food and Drug Administration, Health and Human Services","075-0600","Health",80000000,6360803.12,73639196.88,-1600800.27,"N","No","3"
"Department of Health & Human Services","075-2020/2024-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",4000000000,1461084024.98,2538915975.02,-79712466.58,"N","No","3"
"Department of Health & Human Services","075-X-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1000000000,242669564.8,757330435.2,0,"P","No","3.5"
"Department of Health & Human Services","075-2020/2021-1502-000","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services","075-1502","Income Security",900000000,900000000,0,-125762815.68,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1515-000","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",3466538903,3456480743,10058160,-1374427455.18,"N","No","3"
"Department of Health & Human Services","075-2020/2021-1536-000","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",1873320318,1757854736.59,115465581.41,-166256021.11,"N","No","3"
"Department of Health & Human Services","075-2020/2022-0943-000","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services","075-0943","Health",1900000000,1684724018.02,215275981.98,-493182336.75,"L","No","1"
"Department of Homeland Security","070-2020/2021-0112-000","Operations and Support, Management Directorate, Departmental Management, Operations, Intelligence, and Oversight, Homeland Security","070-0112","Administration of Justice",178300000,52424957,125875043,-8382317.86,"N","No","3"
"Department of Homeland Security","070-X-0200-000","Operations and Support, Office of Inspector General, Homeland Security","070-0200","Administration of Justice",3000000,0,3000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2021-0550-000","Operations and Support, Transportation Security Administration, Homeland Security","070-0550","Transportation",100000000,10421833.98,89578166.02,-5991483.19,"N","No","3"
"Department of Homeland Security","070-2020/2021-0566-000","Operations and Support, National Protection and Programs Directorate, Homeland Security","070-0566","Community and Regional Development",9100000,9082512.21,17487.79,-663349.38,"N","No","3"
"Department of Homeland Security","070-2020/2024-0530-000","Operations and Support, U.S. Customs and Border Protection, Homeland Security","070-0530","Administration of Justice",182000000,2420457.09,179579542.91,-170000,"N","No","3"
"Department of Homeland Security","070-2020/2021-0413-000","Federal Assistance, Federal Emergency Management Agency, Homeland Security","070-0413","Community and Regional Development",400000000,366836994.8,33163005.2,-61364442.62,"N","No","3"
"Department of Homeland Security","070-X-0702-000","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security","070-0702","Community and Regional Development",44997000000,0,44997000000,0,"N","No","3"
"Department of Homeland Security","070-2020/2021-0610-000","Operations and Support, Coast Guard, Homeland Security ","070-0610","Transportation",140800000,22456443.32,118343556.68,-11782574.72,"N","No","3"
"Department of Homeland Security","070-2020/2024-0540-000","Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security","070-0540","Administration of Justice",107000000,1113175.77,105886824.23,-481439.57,"N","No","3"
"Department of Homeland Security","070-2020/2021-0700-000","Operations and Support, Federal Emergency Management Agency, Homeland Security","070-0700","Community and Regional Development",44987000,10625966.26,34361033.74,-2898932.48,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0237-000","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development","086-0237","Income Security",15000000,4500000,10500000,-1538151,"N","No","3"
"Department of Housing & Urban Development","086-X-0303-000","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development","086-0303","Income Security",1000000000,800000000,200000000,-799315768,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0192-000","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development","086-0192","Income Security",4000000000,1387514682,2612485318,-4724883.96,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0144-000","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development","086-0144","Administration of Justice",2500000,1439302.74,1060697.26,-580083.89,"N","No","3"
"Department of Housing & Urban Development","086-X-0302-000","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development","086-0302","Income Security",1250000000,953278346,296721654,-691269494,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0163-000","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development","086-0163","Income Security",685000000,684992032.5,7967.5,-235806509.46,"N","No","3"
"Department of Housing & Urban Development","086-X-0189-000","Office of Inspector General, Management and Administration, Housing and Urban Development","086-0189","Community and Regional Development",5000000,691037.22,4308962.78,-635865.55,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0320-000","Housing for the Elderly, Housing Programs, Housing and Urban Development","086-0320","Income Security",50000000,15000000,35000000,-3702406,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0308-000","Housing Opportunities for Persons with AIDS, Community Planning  and Development, Housing and Urban Development","086-0308","Income Security",55000000,36368737,18631263,-321426.29,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0308-000","Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development","086-0308","Income Security",10000000,9497677,502323,-188166.99,"N","No","3"
"Department of Housing & Urban Development","086-2020/2024-0313-000","Native American Programs, Public and Indian Housing, Housing and Urban Development","086-0313","Income Security",300000000,256724486,43275514,-30203094.35,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0335-000","Administrative Support Offices, Management and Administration, Housing and Urban Development","086-0335","Income Security",35000000,6769162.07,28230837.93,-1313474.29,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0162-000","Community Development Fund, Community Planning and Development, Housing and Urban Development","086-0162","Community and Regional Development",5000000000,1499168712,3500831288,-34250001.49,"N","No","3"
