"Agency","federal_account_code","Account_Name","Percent_Outlaid","Percent_Obligated_Not_Outlaid","Percent_Unobligated","Amount_Outlaid","Amount_Obligated","Amount_Unobligated","Total_Budgetary_Resources","Loan_Program_Account"
"Dept. of Commerce","013-0201","Minority Business Development, Minority Business Development Agency, Commerce",0,0,100,0,0,10000000,10000000,"No"
"Dept. of Commerce","013-0500","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ",0.6,0.5,98.9,33173.49,64052.09,5935947.91,6000000,"No"
"Dept. of Commerce","013-0126","Office of Inspector General, Departmental Management, Commerce",0,0,100,0,0,3000000,3000000,"No"
"Dept. of Defense","097-0130","Defense Health Program, Defense",0.3,3.7,96,12282581.49,154368984.17,3733231015.83,3887600000,"No"
"Dept. of Defense","097-4930","Defense Working Capital Fund, Navy",0,0,100,0,0,1450000000,1450000000,"No"
"Dept. of Defense","021-2060","National Guard Personnel, Army",0,0,100,0,0,746591000,746591000,"No"
"Dept. of Defense","057-3850","National Guard Personnel, Air Force",0,0.1,99.9,595.42,306893.95,481818106.05,482125000,"No"
"Dept. of Defense","017-1804","Operation and Maintenance, Navy",0,0,100,0,0,360308000,360308000,"No"
"Dept. of Defense","021-2065","Operation and Maintenance, Army National Guard",0,7.1,92.9,0,13164955.41,173531044.59,186696000,"No"
"Dept. of Defense","021-2020","Operation and Maintenance, Army",1.1,85.7,13.2,1820857.32,139158507.91,21141492.09,160300000,"No"
"Dept. of Defense","057-3400","Operation and Maintenance, Air Force",4.1,33,62.9,5047556.76,45601681.58,77398318.42,123000000,"No"
"Dept. of Defense","017-1106","Operation and Maintenance, Marine Corps",0,0,100,0,0,90000000,90000000,"No"
"Dept. of Defense","057-3840","Operation and Maintenance, Air National Guard",0,0.3,99.7,20778.47,264826.36,75489173.64,75754000,"No"
"Dept. of Defense","021-2080","Operation and Maintenance, Army Reserve",0,8.2,91.8,0,3931226.92,44068773.08,48000000,"No"
"Dept. of Defense","057-3080","Other Procurement, Air Force",0,0,100,0,0,32000000,32000000,"No"
"Dept. of Education","091-0251","Education Stabilization Fund, Department of Education",2.6,22.2,75.2,807373041.96,7644904373,23105095627,30750000000,"No"
"Dept. of Education","091-0231","Federal Family Education Loan Program Account, Education",0,0,100,0,0,13259764211,13259764211,"Yes"
"Dept. of Education","091-0202","Student and Administration, Education",26.4,32.9,40.7,478243732.87,1073076242.29,736066757.71,1809143000,"No"
"Dept. of Education","091-0203","Safe Schools and Citizenship Education,  Education",0,0,100,0,0,100000000,100000000,"No"
"Dept. of Education","091-1901","Historically Black College and University Capital Financing, Program Account, Department of Education",30,0.1,69.9,13946498.3,13970273.54,32513726.46,46484000,"Yes"
"Dept. of Education","091-0603","Howard University, Education",100,0,0,13000000,13000000,0,13000000,"No"
"Dept. of Education","091-0800","Program Administration, Departmental Management, Education",0,0.4,99.6,0,34238.8,7965761.2,8000000,"No"
"Dept. of Education","091-0602","Gallaudet University, Special Institutions for Persons with Disabilities, Education",0,100,0,0,7000000,0,7000000,"No"
"Dept. of Education","091-1400","Office of the Inspector General, Departmental Management, Education",0,0,100,0,0,7000000,7000000,"No"
"Dept. of Energy","089-0222","Science, Energy Programs, Energy",2.7,63.9,33.4,2649535.79,66215000,33285000,99500000,"No"
"Dept. of Energy","089-0228","Departmental Administration, Energy Programs, Energy",0.1,0.4,99.5,21539.88,149976.27,27850023.73,28000000,"No"
"Dept. of Homeland Security","070-0702","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security",0,0,100,0,0,44997000000,44997000000,"No"
"Dept. of Homeland Security","070-0413","Federal Assistance, Federal Emergency Management Agency, Homeland Security",0,74.5,25.5,0,298032637,101967363,400000000,"No"
"Dept. of Homeland Security","070-0112","Operations and Support, Management Directorate, Departmental Management, Operations, Intelligence, and Oversight, Homeland Security",0,0,100,0,0,178300000,178300000,"No"
"Dept. of Homeland Security","070-0610","Operations and Support, Coast Guard, Homeland Security ",0,1.3,98.7,0,1893910.26,138906089.74,140800000,"No"
"Dept. of Homeland Security","070-0550","Operations and Support, Transportation Security Administration, Homeland Security",0.1,0,99.9,109005.5,109005.5,99890994.5,100000000,"No"
"Dept. of Homeland Security","070-0700","Operations and Support, Federal Emergency Management Agency, Homeland Security",0,0.3,99.7,0,113871.76,44873128.24,44987000,"No"
"Dept. of Homeland Security","070-0566","Operations and Support, National Protection and Programs Directorate, Homeland Security",0,0,100,0,0,9100000,9100000,"No"
"Dept. of Justice","015-0404","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice",10.2,31.6,58.2,86305775.9,354930110,495069890,850000000,"No"
"Dept. of Justice","015-0200","Salaries and Expenses, Federal Bureau of Investigation, Justice",0,9.3,90.7,0,1865696,18134304,20000000,"No"
"Dept. of Justice","015-0324","Salaries and Expenses, United States Marshals Service, Justice",1.4,17.7,80.9,203315.1,2857080.03,12142919.97,15000000,"No"
"Dept. of Justice","015-0322","Salaries and Expenses, United States Attorneys, Justice",0,0,100,0,0,3000000,3000000,"No"
"Dept. of Justice","015-0134","Justice Information Sharing Technology, General Administration, Justice",0.6,30.8,68.6,11312.62,627240.42,1372759.58,2000000,"No"
"Dept. of Justice","015-0328","Office of Inspector General, Justice",0.2,1.5,98.3,3479.79,34608.72,1965391.28,2000000,"No"
"Dept. of Labor","016-1801","Federal Unemployment Compensation Program, Employment and Training Administration, Labor",32.8,0,67.2,26908364589.55,26908364589.55,55231635410.45,82140000000,"No"
"Dept. of Labor","016-8042","Unemployment Trust Fund - Treasury Managed, Labor",4.1,1.2,94.7,2668622501.77,3452770834.97,62035194165.03,65487965000,"No"
"Dept. of Labor","016-0174","Training and Employment Service, Employment and Training Administration, Labor",0,38.1,61.9,0,131286863,213713137,345000000,"No"
"Dept. of Labor","016-0168","Short Time Compensation Programs, Employment and Training Administration, Labor",0,0,100,0,0,129000000,129000000,"No"
"Dept. of Labor","016-0106","Office of the Inspector General, Departmental Management, Labor",0,0,100,0,0,25000000,25000000,"No"
"Dept. of State","019-0113","Diplomatic and Consular Programs, State",4.6,4.5,90.9,23053882.96,46055529.72,460944470.28,507000000,"No"
"Dept. of State","019-1143","Migration and Refugee Assistance, State",8.4,10.1,81.5,29341729.93,64730000,285270000,350000000,"No"
"Dept. of State","019-5713","Consular and Border Security Programs, Administration of Foreign Affairs, State",35.4,2.6,62,28699802.23,30804183.25,50195816.75,81000000,"No"
"Dept. of the Interior","014-2100","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",45.7,30.3,24,206734031.96,344141560.33,108858439.67,453000000,"No"
"Dept. of the Interior","014-2106","Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",6.8,1.9,91.3,15204230,19366910,203633090,223000000,"No"
"Dept. of the Interior","014-0102","Departmental Operations, Office of the Secretary, Interior",0,1.2,98.8,0,1927000,155473000,157400000,"No"
"Dept. of the Interior","014-0412","Assistance to Territories, Insular Affairs, Interior",0,75,25,0,41250001,13749999,55000000,"Yes"
"Dept. of the Interior","075-1515","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",0,0,100,0,0,33461097,33461097,"No"
"Dept. of the Interior","014-0680","Water and Related Resources, Bureau of Reclamation, Interior",0.8,0.2,99,92900,119448.64,11880551.36,12000000,"No"
"Dept. of the Interior","014-5065","Policy and Administration, Bureau of Reclamation, Interior",0.4,0,99.6,34945.7,34945.7,8065054.3,8100000,"No"
"Dept. of the Interior","014-0104","Salaries and Expenses, Office of the Inspector General, Interior",0,0,100,0,0,1000000,1000000,"No"
"Dept. of the Interior","014-0787","Central Utah Project Completion Account, Central Utah Project, Interior",0,0,100,0,0,500000,500000,"No"
"Dept. of the Treasury","020-1889","Economic Stabilization Program Account, Departmental Offices, Treasury",0,0,100,150248.5,1713962.2,499973286037.8,499975000000,"Yes"
"Dept. of the Treasury","020-0905","U.S. Coronavirus Payments, Internal Revenue Service, Treasury",76.8,0,23.2,216674840966.64,216674840966.64,65325159033.36,282000000000,"No"
"Dept. of the Treasury","020-1892","Coronavirus Relief Fund, Departmental Offices, Treasury",94.6,0.1,5.3,141911624716.1,142000000000,8000000000,150000000000,"No"
"Dept. of the Treasury","020-1894","Air Carrier Worker Support, Departmental Offices, Department of Treasury",39.2,33.8,27,12547279007.32,23355043101.01,8644956898.99,32000000000,"No"
"Dept. of the Treasury","020-0936","U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury",0,0,100,1088322,1088322,9998911678,10000000000,"No"
"Dept. of the Treasury","020-0912","Taxpayer Services, Internal Revenue Service, Treasury",0,10.6,89.4,0,38070000,321830000,359900000,"No"
"Dept. of the Treasury","020-0919","Operations Support, Internal Revenue Service, Treasury",0.2,7.7,92.1,752072.4,25942753.65,300657246.35,326600000,"No"
"Dept. of the Treasury","020-0520","Salaries and Expenses, Bureau of the Fiscal Service, Treasury",0,5.3,94.7,0,6645777.44,119004222.56,125650000,"No"
"Dept. of the Treasury","020-0913","Enforcement, Internal Revenue Service",0,0,100,0,0,79200000,79200000,"No"
"Dept. of the Treasury","020-0151","Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury",100,0,0,75000000,75000000,0,75000000,"No"
"Dept. of the Treasury","020-0501","Payment to the Legal Services Corporation, Legal Services Corporation",100,0,0,50000000,50000000,0,50000000,"No"
"Dept. of the Treasury","020-0101","Salaries and Expenses, Departmental Offices, Treasury",0,0,100,0,0,25000000,25000000,"No"
"Dept. of the Treasury","020-1893","Special Inspector General for Pandemic Recovery, Treasury",0,0,100,0,0,25000000,25000000,"No"
"Dept. of the Treasury","020-1771","Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury",100,0,0,5000000,5000000,0,5000000,"No"
"Dept. of the Treasury","020-1802","Financial Agent Services, Bureau of the Fiscal Service, Treasury",0,100,0,0,1560000,0,1560000,"No"
"Dept. of Transportation","069-2812","Transit Infrastructure Grants, Federal Transit Administration, Transportation",0.1,5.1,94.8,34339902,1297675007,23702324993,25000000000,"No"
"Dept. of Transportation","069-8106","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",0,4,96,0,400222145,9599777855,10000000000,"No"
"Dept. of Transportation","069-1775","National Network Grants to the National Railroad Passenger Corporation, Transportation",100,0,0,526000000,526000000,0,526000000,"No"
"Dept. of Transportation","069-1774","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",100,0,0,492000000,492000000,0,492000000,"No"
"Dept. of Transportation","069-5423","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",0,0,100,0,0,56000000,56000000,"No"
"Dept. of Transportation","069-0130","Salaries and Expenses, Office of the Inspector General, Transportation",0,0,100,0,0,5000000,5000000,"No"
"Dept. of Transportation","069-1750","Operations and Training, Maritime Administration, Transportation",1.3,58.8,39.9,39915.29,1884482.1,1249517.9,3134000,"No"
"Dept. of Transportation","069-0102","Salaries and Expenses, Office of the Secretary, Transportation",0,0,100,0,0,1753000,1753000,"No"
"Dept. of Transportation","069-1712","State Maritime Academy Operations, Maritime Administration, Transportation",100,0,0,1000000,1000000,0,1000000,"No"
"Dept. of Transportation","069-0700","Safety and Operations, Federal Railroad Administration, Transportation",0,0,100,0,0,250000,250000,"No"
"Dept. of Veterans Affairs","036-0160","Medical Services, Veterans Health Administration, Veterans Affairs",1.9,3.3,94.8,271400068.63,747648171.38,13714351828.62,14462000000,"No"
"Dept. of Veterans Affairs","036-0167","Information Technology Systems, Departmental Administration, Veterans Affairs",2,13.4,84.6,42353213.78,329810414.03,1820189585.97,2150000000,"No"
"Dept. of Veterans Affairs","036-0140","Medical Community Care, Veterans Health Administration, Veterans Affairs ",1.6,0,98.4,34144705.18,34144705.18,2095855294.82,2130000000,"No"
"Dept. of Veterans Affairs","036-0162","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",2,0.8,97.2,12142973.52,16895458.55,589104541.45,606000000,"No"
"Dept. of Veterans Affairs","036-0181","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",0,0,100,0,0,150000000,150000000,"No"
"Dept. of Veterans Affairs","036-0152","Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",8,4.2,87.8,7942216.83,12167242.17,87832757.83,100000000,"No"
"Dept. of Veterans Affairs","036-0151","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",1,2.1,96.9,127437.76,402346.06,12597653.94,13000000,"No"
"Dept. of Veterans Affairs","036-0170","Office of Inspector General, Departmental Administration, Veterans Affairs",0,0,100,0,0,12500000,12500000,"No"
"Dept. of Veterans Affairs","036-0142","General Administration, Departmental Administration, Veterans Affairs",0,0,100,0,0,6000000,6000000,"No"
"Election Assistance Commission","525-1651","Election Reform Programs, Election Assistance Commission",81.8,18.2,0,327316236,400000000,0,400000000,"No"
"Fed. Communications Commission","027-0100","Salaries and Expenses, Federal Communications Commission",0,6.9,93.1,0,13700581,186299419,200000000,"No"
"General Services Admin.","047-4542","Federal Buildings Fund, General Services Administration",0.7,0.6,98.7,1824511.18,3577632.53,271422367.47,275000000,"No"
"General Services Admin.","047-4549","Federal Citizen Services Fund, General Services Administration",0,4.3,95.7,2973.43,805633.89,17844366.11,18650000,"No"
"General Services Admin.","047-4540","Working Capital Fund, General Services Administration",0,0,100,0,0,1500000,1500000,"No"
"Health & Human Services","075-0140","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",17.3,3,79.7,39336157822.52,46096656895.51,181188843104.49,227285500000,"No"
"Health & Human Services","075-0943","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",1.6,22.6,75.8,109441696.8,1672335086.72,5227664913.28,6900000000,"No"
"Health & Human Services","075-1515","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",0.5,99.2,0.3,18133627.68,3456426903,10112000,3466538903,"No"
"Health & Human Services","075-0360","Primary Health Care, Health Resources and Services Administration, Health and Human Services",5.1,65,29.9,102438282.26,1416710110.18,603289889.82,2020000000,"Yes"
"Health & Human Services","075-1536","Children and Families Services Programs, Administration for Children and Families, Health and Human Services",0,3.8,96.2,207363.29,71616793,1802383207,1874000000,"No"
"Health & Human Services","075-0885","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0.2,7.2,92.6,3620222.96,113589049.8,1418410950.2,1532000000,"No"
"Health & Human Services","075-0142","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",3.3,95.7,1,40069039.66,1192770589,12229411,1205000000,"No"
"Health & Human Services","075-0846","Office of the Director, National Institutes of Health, Health and Human Services",0,0,100,0,0,1030000000,1030000000,"No"
"Health & Human Services","075-0390","Indian Health Services, Indian Health Service, Health and Human Services",45.7,2.8,51.5,443805467.62,470597198.85,500402801.15,971000000,"No"
"Health & Human Services","075-1502","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",0,0,100,0,0,900000000,900000000,"No"
"Health & Human Services","075-0945","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services",0,0,100,0,0,600000000,600000000,"No"
"Health & Human Services","075-0898","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services  ",0,0,100,0,95394.85,559904605.15,560000000,"No"
"Health & Human Services","075-1362","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",0,84.6,15.4,0,359449551,65550449,425000000,"No"
"Health & Human Services","075-0849","National Cancer Institute, National Institutes of Health, Health and Human Services",0,0,100,0,0,306000000,306000000,"No"
"Health & Human Services","075-0511","Program Management, Centers for Medicare and Medicaid Services",0,1.2,98.8,0,2475958.52,197524041.48,200000000,"No"
"Health & Human Services","075-0600","Salaries and Expenses, Food and Drug Administration, Health and Human Services",0,0.6,99.4,75,1001039.19,161998960.81,163000000,"No"
"Health & Human Services","075-0391","Indian Health Facilities, Indian Health Service, Health and Human Services",0,5.4,94.6,0,6758461,118241539,125000000,"No"
"Health & Human Services","075-0872","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",0,9.6,90.4,0,9977421,93422579,103400000,"No"
"Health & Human Services","075-0356","Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services",0.1,99.4,0.5,106903.97,89560236,439764,90000000,"Yes"
"Health & Human Services","075-0875","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services ",0,0,100,0,0,36000000,36000000,"No"
"Health & Human Services","075-0944","Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services  ",0,0,100,0,0,12500000,12500000,"No"
"Health & Human Services","075-0128","Office of the Inspector General, Office of the Secretary, Health and Human Services",0,0,100,0,0,12000000,12000000,"No"
"Health & Human Services","075-0807","National Library of Medicine, National Institutes of Health",0,0,100,0,0,10000000,10000000,"No"
"Health & Human Services","075-0862","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",0,2.5,97.5,0,250955.05,9749044.95,10000000,"No"
"Health & Human Services","075-0357","Health Care Systems, Health Resources and Services Administration, Health and Human Services",0,96.7,3.3,0,4834000,166000,5000000,"Yes"
"Housing & Urban Development","086-0162","Community Development Fund, Community Planning and Development, Housing and Urban Development",0,0,100,0,0,5000000000,5000000000,"No"
"Housing & Urban Development","086-0192","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development",0,0.5,99.5,0,20000000,3980000000,4000000000,"No"
"Housing & Urban Development","086-0302","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",0,0,100,0,0,1250000000,1250000000,"No"
"Housing & Urban Development","086-0303","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",0,0,100,0,0,1000000000,1000000000,"No"
"Housing & Urban Development","086-0163","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development",0,100,0,0,684999986,14,685000000,"No"
"Housing & Urban Development","086-0313","Native American Programs, Public and Indian Housing, Housing and Urban Development",0,0,100,0,0,300000000,300000000,"Yes"
"Housing & Urban Development","086-0308","Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development",0,0,100,0,0,65000000,65000000,"No"
"Housing & Urban Development","086-0320","Housing for the Elderly, Housing Programs, Housing and Urban Development",0,0,100,0,0,50000000,50000000,"No"
"Housing & Urban Development","086-0335","Administrative Support Offices, Management and Administration, Housing and Urban Development",0,2.9,97.1,0,1000866.1,33999133.9,35000000,"No"
"Housing & Urban Development","086-0237","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development",0,0,100,0,0,15000000,15000000,"No"
"Housing & Urban Development","086-0479","Program Offices, Management and Administration, Housing and Urban Development",0,0,100,0,0,15000000,15000000,"No"
"Housing & Urban Development","086-0189","Office of Inspector General, Management and Administration, Housing and Urban Development",0.1,0,99.9,5367.21,5367.21,4994632.79,5000000,"No"
"Housing & Urban Development","086-0144","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development",0,0,100,0,0,2500000,2500000,"No"
"Other Agencies","011-0100","Peace Corps, Funds Appropriated to the President",11.7,0,88.3,10321500,10338000,77662000,88000000,"No"
"Other Agencies","418-0200","Grants and Administration, National Endowment for the Humanities, National Foundation on the Arts and Humanities ",0,39.5,60.5,0,29594300,45405700,75000000,"No"
"Other Agencies","417-0100","Grants and Administration, National Endowment for the Arts, National Foundation on the Arts and Humanities",0.4,39.2,60.4,285017,29700000,45300000,75000000,"No"
"Other Agencies","049-0100","Research and Related Activities, National Science Foundation",0,34.3,65.7,4000,24040042,45959958,70000000,"No"
"Other Agencies","080-0122","Safety, Security and Missions Services, National Aeronautics and Space Administration",0.5,10.4,89.1,310995.09,6572933.74,53427066.26,60000000,"No"
"Other Agencies","096-3123","Operation and Maintenance, Corps of Engineers-Civil",1.9,0.2,97.9,936783.41,1019372.09,48980627.91,50000000,"No"
"Other Agencies","474-0301","Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services ",0,60,40,0,30025000,19975000,50000000,"No"
"Other Agencies","033-0302","Operations and Maintenance, John F. Kennedy Center for the Performing Arts",0,92,8,0,23000000,2000000,25000000,"No"
"Other Agencies","005-0107","Salaries and Expenses, Government Accountability Office",0.2,0,99.8,41213.66,41213.66,19958786.34,20000000,"No"
"Other Agencies","096-3124","Expenses, Corps of Engineers-Civil",0.6,1.7,97.7,116537.72,457088.06,19542911.94,20000000,"No"
"Other Agencies","024-0100","Salaries and Expenses, Office of Personnel Management",0,0,100,0,0,12100000,12100000,"No"
"Other Agencies","088-0300","Operating Expenses, National Archives and Records Administration",0,31.1,68.9,0,2520010.56,5579989.44,8100000,"No"
"Other Agencies","033-0100","Salaries and Expenses, Smithsonian Institution",7.3,19.8,72.9,549192.63,2031804.9,5468195.1,7500000,"No"
"Other Agencies","049-0106","Education and Human Resources, National Science Foundation",0,62.9,37.1,0,3143013,1856987,5000000,"No"
"Other Agencies","068-0108","Environmental Programs and Management, Environmental Protection Agency",4.6,0,95.4,180000,180000,3730000,3910000,"No"
"Other Agencies","031-0200","Salaries and Expenses, Nuclear Regulatory Commission",0,8.2,91.8,0,270600,3029400,3300000,"No"
"Other Agencies","084-8522","Armed Forces Retirement Home Trust Fund, Armed Forces Retirement Home",0,2,98,0,56880,2743120,2800000,"No"
"Other Agencies","068-0107","Science and Technology, Environmental Protection Agency",0,0,100,0,0,2250000,2250000,"No"
"Other Agencies","049-0180","Agency Operations and Award Management, National Science Foundation",0,0,100,0,0,1000000,1000000,"No"
"Other Agencies","068-0110","Buildings and Facilities, Environmental Protection Agency ",0,0,100,0,0,300000,300000,"No"
"Other Agencies","373-2900","Payment to the Institute, Institute of American Indian and Alaska Native Culture and Arts Development",100,0,0,78000,78000,0,78000,"No"
"Railroad Retirement Board","060-0117","Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board",0,3.3,96.7,0,4407792.2,129009030,133416822.2,"No"
"Railroad Retirement Board","060-8237","Limitation on Administration, Railroad Retirement Board",0,0,100,0,0,5000000,5000000,"No"
"Small Business Administration","073-1154","Business Loans Program Account, Small Business Administration",1.1,66.6,32.3,7824042809,465733671804.28,221601328195.72,687335000000,"Yes"
"Small Business Administration","073-1152","Disaster Loans Program Account, Small Business Administration",0,0.1,99.9,12211201.68,71976388.2,49928023611.8,50000000000,"Yes"
"Small Business Administration","073-0500","Emergency EIDL Grants, Small Business Administration",66.6,10.2,23.2,6657762000,7680117000,2319883000,10000000000,"No"
"Small Business Administration","073-0100","Salaries and Expenses, Small Business Administration",0.1,7.8,92.1,1166582.55,218063843.04,2556936156.96,2775000000,"No"
"Small Business Administration","073-0400","Entrepreneurial Development Programs, Small Business Administration",0,31.6,68.4,0,83758567.92,181241432.08,265000000,"No"
"Social Security Admin.","028-8704","Salaries and Expenses, Social Security Administration",0,3,97,0,10258610.57,327741389.43,338000000,"No"
